neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L30_N5509,True,120,0.0001581082741419473,0.8694261147770446,0.0032760659853617352,0.26814637072585484,-0.0018736352523167925,0.05458908218356329,-0.0014126062393188476,0.6560687862427514,0.001715520272652308,0.0003999200159968006,-0.0018634627262751262,0.24755048990201958,0.150467962026596,93.1
L30_N6621,True,120,0.001403422156969706,0.16536692661467706,0.0036793986956278482,0.1915616876624675,-0.0030902008215586345,0.0013997200559888023,-0.0018010695775349935,0.4839032193561288,0.0016867881019910175,0.0023995200959808036,-0.0018782933553059896,0.21895620875824834,-0.0620472654700279,58.9
L30_N7102,True,120,-0.0006774663925170896,0.24075184963007398,-0.0016067028045654297,0.5724855028994201,0.00051884651184082,0.27554489102179563,0.0018929799397786459,0.5572885422915417,0.0001586409906546274,0.593881223755249,-0.00028626322746276854,0.8664267146570686,-0.2972248494625091,99.5
L31_N11541,True,120,-0.006112690766652424,0.001999600079984003,0.0048124472300211584,0.14517096580683864,-0.007276599605878194,0.0061987602479504095,0.011861574649810792,0.001999600079984003,0.01338924691081047,0.0001999600079984003,-0.016674062609672545,0.0001999600079984003,0.2199244350194931,98.6
L31_N14143,True,120,-0.0033575276533762614,0.0001999600079984003,0.005476919809977213,0.0003999200159968006,0.0016291499137878417,0.005198960207958408,-0.0020395636558532713,0.08318336332733453,0.0017283911506334939,0.0001999600079984003,-0.0034374743700027466,0.0003999200159968006,-0.2534784376621246,99.2
L31_N2477,True,120,-0.006944158673286436,0.0001999600079984003,0.005656226476033529,0.1275744851029794,-0.00630586842695872,0.0001999600079984003,-0.0029205560684204103,0.46070785842831435,0.01325000450015068,0.0001999600079984003,-0.002735711137453715,0.2829434113177364,0.4238231182098388,99.9
L31_N3330,True,120,0.0020353198051452632,0.009798040391921616,-0.000703895092010498,0.7106578684263147,-0.00311489204565684,0.0001999600079984003,0.0008949597676595052,0.5680863827234554,0.001079586644967397,0.021195760847830435,-0.00019105176130930582,0.8070385922815437,-0.4658483266830444,100.0
L31_N368,True,120,-0.0012562533219655355,0.0669866026794641,0.002388044198354085,0.1933613277344531,0.0006841490666071572,0.3727254549090182,-0.002176558971405029,0.1855628874225155,0.0005720754464467366,0.16416716656668667,-0.00021153688430786133,0.7928414317136573,0.0062993853352963,8.1
L31_N377,True,120,-2.5898218154907804e-06,0.9968006398720256,0.0021900216738382976,0.3225354929014197,0.0002683619658152263,0.5942811437712457,-0.0014132181803385416,0.4425114977004599,-0.0002657480537891388,0.41711657668466307,-0.0007768611113230388,0.4979004199160168,0.0351735539734363,35.9
L31_N434,False,120,0.0015642901261647539,0.011197760447910418,0.0012800455093383788,0.45670865826834633,-0.0008394767840703327,0.2761447710457908,-0.000724319616953532,0.4877024595080984,-0.0007248555620511372,0.05578884223155369,-0.0005556811889012654,0.5586882623475304,,
L31_N4425,True,120,-0.0018759419520696001,0.01259748050389922,-0.0012371222178141276,0.6266746650669867,0.00220991571744283,0.008598280343931213,0.0013846317927042643,0.7674465106978604,-0.00033395538727442416,0.4305138972205559,-0.00014754136403401694,0.909618076384723,-0.0064530479721724,8.200000000000001
L31_N5966,True,120,0.0030034283796946206,0.0001999600079984003,5.704959233601888e-05,0.9824035192961408,-0.0017239083846410117,0.013997200559888023,0.0007065653800964356,0.8288342331533693,-0.0012795262038707734,0.008598280343931213,-0.0007636268933614095,0.6272745450909818,-0.4046629071235657,99.9
L31_N6772,True,120,0.0106923778851827,0.0001999600079984003,0.006255122025807699,0.007998400319936013,-0.005774972836176554,0.0001999600079984003,-0.0022609631220499673,0.13097380523895222,-0.004917389899492264,0.0001999600079984003,-0.003994187712669373,0.0005998800239952009,-0.0139341140165925,16.2
L31_N6912,False,120,0.000300854444503784,0.6026794641071785,0.0026707927385965983,0.21755648870225955,-0.0005788952112197874,0.4433113377324535,-0.0030382951100667317,0.21735652869426114,0.00027807032068570444,0.37252549490101977,0.00036743481953938805,0.7630473905218956,,
L31_N7853,True,120,-0.0005568991104761758,0.3525294941011798,0.0028682351112365723,0.12577484503099381,0.0008687674999237061,0.16516696660667868,-0.002591260274251302,0.3161367726454709,-0.0003118403255939483,0.3787242551489702,-0.00027699669202168784,0.8314337132573485,-0.0144113134592771,16.6
