pair,alpha,layer,rankunknown,rankI,ranknot
21,-3.0,20,149155,151665,151855
21,-3.0,21,142440,151766,151094
21,-3.0,22,144928,151682,151203
21,-3.0,23,126138,151762,149880
21,-3.0,24,127625,151731,141292
21,-3.0,25,112766,146763,128702
21,-3.0,26,139898,147490,132087
21,0.0,20,149985,151818,146700
21,0.0,21,140887,151757,141394
21,0.0,22,141680,151588,143484
21,0.0,23,129038,151528,124508
21,0.0,24,104620,149714,50351
21,0.0,25,54169,94576,3800
21,0.0,26,101736,113253,3085
21,3.0,20,124642,150989,11251
21,3.0,21,82859,150337,5629
21,3.0,22,144764,147977,4171
21,3.0,23,141329,146332,2525
21,3.0,24,135011,140816,474
21,3.0,25,126959,131670,117
21,3.0,26,136763,127865,12
22,-3.0,20,140087,151400,151904
22,-3.0,21,131372,151052,151408
22,-3.0,22,130915,151557,151228
22,-3.0,23,112920,151598,149432
22,-3.0,24,87288,151099,132038
22,-3.0,25,96646,149700,135963
22,-3.0,26,108840,150390,138098
22,0.0,20,142115,151567,148244
22,0.0,21,131850,150921,146593
22,0.0,22,119028,151451,147561
22,0.0,23,97882,151000,132949
22,0.0,24,69712,150504,90352
22,0.0,25,49306,133092,35492
22,0.0,26,75508,145099,54875
22,3.0,20,124716,150511,40087
22,3.0,21,76237,151410,45487
22,3.0,22,112202,150699,33196
22,3.0,23,112183,149331,17774
22,3.0,24,92586,143017,2264
22,3.0,25,80201,134638,683
22,3.0,26,101657,131301,103
23,-3.0,20,136911,151198,151871
23,-3.0,21,125005,151081,151356
23,-3.0,22,130886,151566,150873
23,-3.0,23,119210,151593,148155
23,-3.0,24,89961,150930,116256
23,-3.0,25,81062,149127,118386
23,-3.0,26,113262,150658,129971
23,0.0,20,143364,151508,147496
23,0.0,21,123723,151001,144660
23,0.0,22,110799,151412,144865
23,0.0,23,72375,151022,119116
23,0.0,24,20597,148639,62160
23,0.0,25,12534,99129,16778
23,0.0,26,17560,98882,11887
23,3.0,20,102791,149781,20295
23,3.0,21,47254,149940,16222
23,3.0,22,57198,147493,5475
23,3.0,23,54779,145846,3236
23,3.0,24,19122,130630,266
23,3.0,25,12326,109616,71
23,3.0,26,24859,116007,18
24,-3.0,20,138857,150889,151897
24,-3.0,21,122776,150368,151322
24,-3.0,22,122124,150656,150893
24,-3.0,23,103269,151494,147768
24,-3.0,24,64780,150779,118937
24,-3.0,25,53339,150297,128048
24,-3.0,26,77714,150701,129926
24,0.0,20,144383,150782,148952
24,0.0,21,121631,150036,146069
24,0.0,22,105279,150451,143290
24,0.0,23,62031,150152,119384
24,0.0,24,18551,147080,70327
24,0.0,25,10002,95366,30910
24,0.0,26,23224,110645,48861
24,3.0,20,118872,148501,40212
