pair,layer,positions,rec
4,12,last,0.0054953193439068815
4,12,all,-0.28871194580564075
4,13,last,0.038671022869676525
4,13,all,0.10507342544665041
4,14,last,0.09006348294118574
4,14,all,0.24457090671536458
4,15,last,-0.05004094888788556
4,15,all,-0.3246291454220454
4,16,last,-0.11817551245474878
4,16,all,-0.23235994380630473
4,17,last,-0.04906684352035996
4,17,all,-0.056036361756028975
4,18,last,-0.03656048286663885
4,18,all,-0.03811558687318081
4,19,last,-0.03930982941347944
4,19,all,-0.009453830785817042
4,20,last,-0.12882851664591918
4,20,all,-0.18364520297873557
4,21,last,0.3197188472649627
4,21,all,0.4161297808872793
4,22,last,0.07428049757878306
4,22,all,0.11451434515160042
4,23,last,0.1708906770771934
4,23,all,0.15075970681335904
4,24,last,-0.03377357091365751
4,24,all,-0.03633781538153509
4,25,last,-0.13921369700885292
4,25,all,-0.15345663047909128
4,26,last,-0.0221417251293168
4,26,all,-0.023877519388193835
4,27,last,0.029212585617821495
4,27,all,-0.03375099274209104
4,28,last,-0.028552628258125854
4,28,all,-0.016371574938411224
4,29,last,-0.14812545703766475
4,29,all,-0.14522117752041977
4,30,last,-0.13608597144886397
4,30,all,-0.1476488500022416
4,31,last,-0.44795111851807784
4,31,all,-0.44795111851807784
5,0,last,-0.0010172871699625095
5,0,all,0.04455032843695401
5,1,last,-0.0004367054971713531
5,1,all,0.03067798033646373
5,2,last,-0.0010195244789135353
5,2,all,-0.00496854687816235
5,3,last,-0.002214677710482584
5,3,all,0.04402610973965985
5,4,last,0.04289127779942422
5,4,all,0.059050327748551255
5,5,last,-0.0011952392819133191
5,5,all,0.041832686464212
5,6,last,0.0377264500859815
5,6,all,0.06819386523001601
5,7,last,0.041950747536550745
5,7,all,0.10517993815389656
5,8,last,0.053419365320196775
5,8,all,-0.021341604033489416
5,9,last,0.04191976941261347
5,9,all,0.018285612107076916
5,10,last,0.0016525108113652541
5,10,all,-0.08051670478123249
5,11,last,0.04265386489958269
5,11,all,0.11710866712835545
5,12,last,0.08459729815687046
5,12,all,0.07914996716318863
5,13,last,0.03124763361553257
5,13,all,0.2659552827338952
5,14,last,0.11660570286609602
5,14,all,0.5580238331917519
5,15,last,-0.12883337073654963
5,15,all,-0.1903991221488079
5,16,last,-0.21342688267827223
5,16,all,0.02382510301947216
5,17,last,0.0777525095722403
5,17,all,0.023803246232027526
5,18,last,-0.18912239319087068
5,18,all,-0.3336355995093065
5,19,last,-0.018814133321584593
5,19,all,0.011624368906775122
5,20,last,-0.10022610588460443
5,20,all,-0.09560873046140883
5,21,last,0.4332447674506656
5,21,all,0.6830721074348874
5,22,last,-0.05670106729963005
5,22,all,-0.029795448005628382
5,23,last,0.13364358498125478
5,23,all,0.13076330785784207
5,24,last,-0.058068149119051
5,24,all,-0.010555537580594753
5,25,last,-0.21040858080265007
5,25,all,-0.2211826002073469
5,26,last,0.0034010538069360707
5,26,all,0.0471449184173896
5,27,last,0.018293614789094047
5,27,all,0.02391536983061162
5,28,last,-0.004054950373045453
5,28,all,0.048870658071728815
5,29,last,-0.28696671159641973
5,29,all,-0.2855546254469455
5,30,last,-0.5573568569733134
5,30,all,-0.5968315919038328
5,31,last,-0.8540462248681364
5,31,all,-0.8540462248681364
6,0,last,-0.1208836894490799
6,0,all,0.0977878752115668
6,1,last,0.0075342992431337436
6,1,all,0.06435940429772495
6,2,last,-0.004126697005912463
6,2,all,0.03806244942324544
6,3,last,-0.12088002778359107
6,3,all,-0.004121063674391185
6,4,last,-0.14073301473088026
6,4,all,0.11194809899002815
6,5,last,-0.12520727139166105
6,5,all,0.03359042919507861
6,6,last,-0.11316856026411312
6,6,all,-0.10490277292294138
6,7,last,0.027752607739577845
6,7,all,0.23906563310055468
6,8,last,-0.093716948187715
6,8,all,0.23139275390199748
6,9,last,-0.10764310704146723
6,9,all,-0.2795168967553982
6,10,last,-0.07665668534209955
6,10,all,0.1559190681793664
6,11,last,-0.03765797622001765
6,11,all,-1.0
6,12,last,-0.025202961893047257
6,12,all,-0.29055090320612614
6,13,last,-0.21566054896252343
6,13,all,-0.817268245445381
6,14,last,-0.44396257552537155
6,14,all,-1.0
6,15,last,0.27710442253141077
6,15,all,0.3109435633131538
6,16,last,-0.6747238329638338
6,16,all,-1.0
6,17,last,0.6922249040009892
6,17,all,0.7443360372385747
6,18,last,0.4317796511108789
6,18,all,0.8124094970082785
6,19,last,0.4989529045034824
6,19,all,0.648029164883952
6,20,last,0.8709260098521335
6,20,all,1.2062652786513353
6,21,last,-1.0
6,21,all,-1.0
6,22,last,0.21267544658939802
6,22,all,0.4673313246750906
6,23,last,-0.31200798130409935
6,23,all,-0.3147708487487103
6,24,last,0.3512244186894787
6,24,all,0.47426004077968686
6,25,last,0.9925932957158232
6,25,all,0.9038581842589507
6,26,last,0.1674059944844051
6,26,all,0.1781569260261888
6,27,last,0.34719855831779706
6,27,all,0.5047245343136081
6,28,last,0.20157355849383868
6,28,all,0.04559787533268343
6,29,last,1.2420783387981345
6,29,all,1.3951477862274622
6,30,last,2.0
6,30,all,2.0
6,31,last,2.0
6,31,all,2.0
7,0,last,0.043228827871480136
7,0,all,-0.019568430143430484
7,1,last,0.03994003888161423
7,1,all,-0.01375431134679409
7,2,last,0.04322893639446281
7,2,all,0.1495045166180158
7,3,last,0.02923728528456571
7,3,all,-0.13109098805617758
7,4,last,0.054379564340997444
7,4,all,-0.011635183064163779
7,5,last,0.007036413150467767
7,5,all,0.12559408193789057
7,6,last,0.04464168858288302
7,6,all,0.053556200471467245
7,7,last,0.05087416347771882
7,7,all,-0.09445753593358741
7,8,last,0.018732586130893042
7,8,all,-0.2901830761013075
7,9,last,0.06223673680941129
7,9,all,-0.07885019465767402
7,10,last,0.06729293109506852
7,10,all,0.13273283226101773
7,11,last,0.11695000932212421
7,11,all,0.1152381677934608
7,12,last,-0.04718883150917052
7,12,all,0.45207809574288216
7,13,last,0.003557274848995696
7,13,all,0.2938040539411315
7,14,last,0.035264326173203984
7,14,all,0.6421198532161546
7,15,last,0.08868802008282908
7,15,all,0.157937077940555
7,16,last,-0.025868406333488088
7,16,all,0.12929167700348076
7,17,last,0.06755675046594342
7,17,all,-0.05709480936744341
7,18,last,-0.209152003583863
