rand,layer,norm,cos_real,max_abs_proj_err,span_frac_real
3,17,1.0,0.0015520080924034119,2.3050233721733093e-08,0.0026782569475471973
3,18,1.0000001192092896,-0.0015917830169200897,2.60770320892334e-08,0.0020649658981710672
3,19,1.0,-0.0023012873716652393,2.0489096641540527e-08,0.00228034402243793
3,20,1.0,0.004096264950931072,5.9371814131736755e-09,0.002720230957493186
3,21,1.0,0.020643657073378563,1.862645149230957e-08,0.005908937659114599
4,11,1.0,-0.00440506637096405,1.1175870895385742e-08,0.000865537382196635
4,12,1.0,0.027669314295053482,1.6763806343078613e-08,0.0017479246016591787
4,13,1.0,-0.008773655630648136,3.166496753692627e-08,0.0032908765133470297
4,14,1.0,-0.009906209073960781,1.3969838619232178e-08,0.002810368314385414
4,15,1.0,-0.010080450214445591,1.1175870895385742e-08,0.0024019363336265087
4,16,1.0,-0.027791377156972885,1.6763806343078613e-08,0.0017825771356001496
4,17,1.0,-0.003659188747406006,1.4901161193847656e-08,0.0026782569475471973
4,18,1.0,0.005047676619142294,1.4901161193847656e-08,0.0020649658981710672
4,19,0.9999999403953552,-0.0099866334348917,3.3527612686157227e-08,0.00228034402243793
4,20,1.0,-0.024291230365633965,7.450580596923828e-09,0.002720230957493186
4,21,1.0,0.018211575224995613,1.1175870895385742e-08,0.005908937659114599
5,11,1.0,0.0012676892802119255,1.30385160446167e-08,0.000865537382196635
5,12,1.0,-0.0011679204180836678,2.2351741790771484e-08,0.0017479246016591787
5,13,1.0,0.009090594947338104,2.9802322387695312e-08,0.0032908765133470297
5,14,1.0,0.010685577988624573,1.6763806343078613e-08,0.002810368314385414
5,15,1.0,0.01870393194258213,1.1175870895385742e-08,0.0024019363336265087
5,16,0.9999999403953552,0.0019735340029001236,1.4901161193847656e-08,0.0017825771356001496
5,17,1.0,-0.013177672401070595,4.6566128730773926e-09,0.0026782569475471973
5,18,1.0,0.03300156444311142,1.862645149230957e-08,0.0020649658981710672
5,19,1.0,0.001536073163151741,7.450580596923828e-09,0.00228034402243793
