neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L19_N7986,19,7986,random,,4.429512023925781,0.0001198850804939866,0.007745795417577028,0.026955854147672653,0.11880145967006683,0.380996972322464,97.5,,11.4,,70.19999999999999,,36.199999999999996,,33.900000000000006,,75.4,
L19_N18063,19,18063,random,,4.101558685302734,0.00012629864795599133,0.011645258404314518,0.03032299317419529,0.08970186859369278,0.3503015637397766,86.7,,65.4,,39.4,,68.30000000000001,,48.5,,33.7,
L17_N12569,17,12569,random,,3.9404687881469727,0.00012594720465131104,0.005734659731388092,0.02615848369896412,0.09100687503814697,0.3456364572048187,69.89999999999999,,61.4,,35.4,,16.2,,30.2,,35.8,
L17_N16654,17,16654,random,,3.7260544300079346,0.000134207250084728,0.01314461138099432,0.029571032151579857,0.08490872383117676,0.3310840427875519,33.900000000000006,,93.2,,21.3,,76.1,,46.0,,25.900000000000002,
L17_N2287,17,2287,random,,3.699747323989868,0.00012218600022606552,0.010513285174965858,0.026563774794340134,0.09266490489244461,0.3551197648048401,31.2,,26.1,,45.4,,62.4,,32.5,,38.6,
L18_N13596,18,13596,random,,4.001833438873291,0.00011678711598506197,0.020085250958800316,0.06538956612348557,0.19244877994060516,0.48248490691185,79.2,,6.0,,95.3,,92.2,,93.5,,94.89999999999999,
L18_N16637,18,16637,random,,3.6356372833251953,0.0001226425083586946,0.016784504055976868,0.04805118218064308,0.11498407274484634,0.38443508744239807,24.2,,30.0,,72.2,,86.9,,85.39999999999999,,71.89999999999999,
L18_N84,18,84,random,,3.403247833251953,0.00012348010204732418,0.03866735100746155,0.07722806930541992,0.14787772297859192,0.4169384837150574,7.7,,37.5,,87.3,,97.8,,96.2,,89.8,
L18_N9783,18,9783,random,,3.5603842735290527,0.00012457193224690855,0.0075065516866743565,0.027414366602897644,0.08802086859941483,0.3443625867366791,16.900000000000002,,49.5,,33.800000000000004,,34.300000000000004,,35.8,,31.1,
L24_N16044,24,16044,random,,3.9306414127349854,0.00012344513379503042,0.012532705441117287,0.029913179576396942,0.07630713284015656,0.3208301067352295,68.60000000000001,,37.2,,13.8,,73.2,,46.9,,15.2,
L17_N14632,17,14632,random,,3.6517114639282227,0.0001239085104316473,0.01338562648743391,0.04247643053531647,0.13879433274269104,0.41996675729751587,25.4,,42.6,,88.1,,77.0,,79.3,,86.9,
L24_N15870,24,15870,random,,3.7885794639587402,0.00015413477376569062,0.003556062700226903,0.012443256564438343,0.059467609971761703,0.28741076588630676,45.4,,99.6,,3.4000000000000004,,3.1,,0.4,,4.0,
L18_N10893,18,10893,random,,4.012701034545898,0.00012112313561374322,0.009330816566944122,0.033594761043787,0.1193997785449028,0.38611260056495667,80.10000000000001,,18.099999999999998,,73.2,,52.800000000000004,,60.6,,75.9,
L24_N17807,24,17807,random,,3.686344623565674,0.00012258057540748268,0.00603723619133234,0.025817878544330597,0.10898558050394058,0.3676156997680664,29.599999999999998,,29.5,,59.8,,19.400000000000002,,28.999999999999996,,66.3,
L19_N14920,19,14920,random,,3.7564902305603027,0.00012225723185110837,0.006703938357532024,0.026207737624645233,0.09294037520885468,0.3484162390232086,39.4,,26.400000000000002,,37.4,,26.6,,30.3,,38.9,
L18_N6181,18,6181,random,,4.239683151245117,0.00012521821190603077,0.00988498330116272,0.028572337701916695,0.10975128412246704,0.3765026330947876,92.9,,55.60000000000001,,67.4,,57.9,,41.3,,67.10000000000001,
L17_N18736,17,18736,random,,3.639228105545044,0.00012716832861769944,0.008079225197434425,0.024633746594190598,0.08009480684995651,0.33417999744415283,24.6,,71.0,,23.599999999999998,,40.300000000000004,,24.8,,19.0,
L19_N7653,19,7653,random,,4.129223346710205,0.00012174167204648256,0.03223739191889763,0.05588603392243385,0.12067877501249313,0.39567282795906067,88.1,,21.9,,79.80000000000001,,96.7,,90.2,,77.10000000000001,
L19_N1430,19,1430,random,,3.9231197834014893,0.00012546828656923026,0.005704306531697512,0.026304064318537712,0.09507708996534348,0.3372144401073456,67.0,,57.599999999999994,,26.1,,16.0,,30.8,,43.9,
L18_N15498,18,15498,random,,3.7353169918060303,0.00011845884000649676,0.012032393366098404,0.047940053045749664,0.1568949669599533,0.4387291967868805,35.9,,7.7,,91.4,,70.8,,85.0,,91.60000000000001,
L19_N12651,19,12651,random,,3.768415689468384,0.00012928579235449433,0.004155344795435667,0.02038784883916378,0.10121768712997437,0.35975193977355957,41.6,,82.39999999999999,,51.5,,5.3,,11.799999999999999,,55.300000000000004,
L17_N16230,17,16230,random,,3.6877031326293945,0.00012174311268609017,0.017241278663277626,0.0571223609149456,0.12633401155471802,0.39802539348602295,29.9,,22.0,,80.60000000000001,,87.5,,90.60000000000001,,81.2,
L16_N4136,16,4136,random,,3.8471920490264893,0.00012542217154987156,0.009732376784086227,0.022873153910040855,0.09585953503847122,0.34760725498199463,54.900000000000006,,57.3,,36.8,,56.599999999999994,,19.5,,45.5,
L24_N10878,24,10878,random,,3.9348764419555664,0.00012557103764265776,0.008986528031527996,0.02235282026231289,0.0713055431842804,0.3071533739566803,69.19999999999999,,58.099999999999994,,9.5,,49.4,,17.299999999999997,,10.6,
L16_N14427,16,14427,random,,3.6396608352661133,0.00012684434477705508,0.012892869301140308,0.028777509927749634,0.10636207461357117,0.3686904311180115,24.7,,69.1,,60.8,,74.9,,42.199999999999996,,62.4,
L16_N17234,16,17234,random,,3.6788816452026367,0.00012015440734103322,0.011785597540438175,0.03184760361909866,0.09748835116624832,0.35718199610710144,28.599999999999998,,12.7,,47.9,,69.39999999999999,,53.300000000000004,,48.8,
L19_N502,19,502,random,,3.384265422821045,0.00012737595534417778,0.014664682559669018,0.03677716478705406,0.1001390889286995,0.3708522915840149,6.6000000000000005,,73.1,,62.6,,81.2,,69.0,,53.1,
L17_N13434,17,13434,random,,4.040123462677002,0.0001204255095217377,0.009588484652340412,0.027104860171675682,0.09867125749588013,0.38095623254776,82.5,,14.399999999999999,,69.89999999999999,,55.800000000000004,,34.300000000000004,,50.4,
L17_N2451,17,2451,random,,3.346893310546875,0.00012703619722742587,0.01136274728924036,0.03228188678622246,0.09566213935613632,0.3525278866291046,5.1,,70.19999999999999,,42.0,,66.8,,55.400000000000006,,44.9,
L19_N8684,19,8684,random,,3.812242031097412,0.00012324406998232007,0.01353386975824833,0.04278545081615448,0.09974343329668045,0.3482593297958374,49.2,,35.699999999999996,,37.1,,77.7,,79.9,,52.300000000000004,
L18_N13024,18,13024,random,,3.8914525508880615,0.00012154638534411788,0.020189965143799782,0.06406701356172562,0.15395070612430573,0.4354372024536133,62.4,,20.7,,91.0,,92.30000000000001,,93.10000000000001,,91.0,
L16_N10766,16,10766,random,,3.843489408493042,0.00012285845878068358,0.014288822188973427,0.03653582185506821,0.11213241517543793,0.37478429079055786,53.900000000000006,,31.900000000000002,,66.10000000000001,,80.10000000000001,,68.4,,69.39999999999999,
L24_N12452,24,12452,random,,4.0181965827941895,0.00013409164967015386,0.003203190630301833,0.016863126307725906,0.07812359184026718,0.3442614674568176,81.0,,92.7,,33.7,,2.4,,4.3999999999999995,,16.5,
L18_N15989,18,15989,random,,3.774362564086914,0.000125361344544217,0.013530914671719074,0.035812828689813614,0.09577833116054535,0.3601042628288269,42.5,,56.699999999999996,,51.6,,77.60000000000001,,66.3,,45.300000000000004,
L24_N1176,24,1176,random,,3.9940848350524902,0.00012836503447033465,0.005249909125268459,0.016749650239944458,0.05071864649653435,0.2654697000980377,77.7,,78.0,,0.3,,12.2,,4.2,,0.3,
