neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,split
L29_N9228,29,9228,contradictory_context,cc_0071,1.6875,1.7421875,0.0546875,0.63671875,0.62109375,working
L29_N9228,29,9228,contradictory_context,cc_0072,0.88671875,0.953125,0.06640625,0.84765625,0.83203125,working
L29_N9228,29,9228,contradictory_context,cc_0073,1.3359375,1.390625,0.0546875,0.66015625,0.64453125,working
L29_N9228,29,9228,contradictory_context,cc_0074,0.99609375,0.984375,-0.01171875,0.69140625,0.6953125,working
L29_N9228,29,9228,contradictory_context,cc_0075,0.79296875,0.75390625,-0.0390625,0.7265625,0.75,working
L29_N9228,29,9228,contradictory_context,cc_0076,1.234375,1.2421875,0.0078125,0.5703125,0.5703125,working
L29_N9228,29,9228,contradictory_context,cc_0077,2.34375,2.296875,-0.046875,0.33984375,0.34765625,working
L29_N9228,29,9228,contradictory_context,cc_0078,1.40625,1.40625,0.0,0.44921875,0.44921875,working
L29_N9228,29,9228,contradictory_context,cc_0079,0.3984375,0.4140625,0.015625,0.92578125,0.921875,working
L29_N9228,29,9228,contradictory_context,cc_0080,0.66796875,0.6796875,0.01171875,0.9140625,0.9140625,working
L29_N9228,29,9228,contradictory_context,cc_0081,1.0078125,1.015625,0.0078125,0.67578125,0.67578125,working
L29_N9228,29,9228,contradictory_context,cc_0082,0.390625,0.41796875,0.02734375,0.88671875,0.875,working
L29_N9228,29,9228,contradictory_context,cc_0083,0.2314453125,0.228515625,-0.0029296875,0.96484375,0.96484375,working
L26_N11322,26,11322,contradictory_context,cc_0000,1.046875,1.0859375,0.0390625,0.578125,0.57421875,working
L26_N11322,26,11322,contradictory_context,cc_0001,1.328125,1.3203125,-0.0078125,0.5625,0.578125,working
L26_N11322,26,11322,contradictory_context,cc_0002,1.203125,1.2578125,0.0546875,0.73828125,0.7265625,working
L26_N11322,26,11322,contradictory_context,cc_0003,1.046875,1.046875,0.0,0.5234375,0.5234375,working
L26_N11322,26,11322,contradictory_context,cc_0004,0.625,0.62109375,-0.00390625,0.88671875,0.88671875,working
L26_N11322,26,11322,contradictory_context,cc_0005,1.0234375,0.98828125,-0.03515625,0.74609375,0.765625,working
L26_N11322,26,11322,contradictory_context,cc_0006,0.7734375,0.76953125,-0.00390625,0.8359375,0.8359375,working
L26_N11322,26,11322,contradictory_context,cc_0007,2.59375,2.5625,-0.03125,0.255859375,0.248046875,working
L26_N11322,26,11322,contradictory_context,cc_0008,2.28125,2.28125,0.0,0.298828125,0.298828125,working
L26_N11322,26,11322,contradictory_context,cc_0009,0.4375,0.40234375,-0.03515625,0.91015625,0.91796875,working
L26_N11322,26,11322,contradictory_context,cc_0010,1.2109375,1.2265625,0.015625,0.7734375,0.76953125,working
L26_N11322,26,11322,contradictory_context,cc_0011,1.296875,1.21875,-0.078125,0.703125,0.7265625,working
L26_N11322,26,11322,contradictory_context,cc_0012,1.046875,1.0390625,-0.0078125,0.80078125,0.80078125,working
L26_N11322,26,11322,contradictory_context,cc_0013,0.466796875,0.474609375,0.0078125,0.90625,0.90234375,working
L26_N11322,26,11322,contradictory_context,cc_0014,0.50390625,0.49609375,-0.0078125,0.8828125,0.88671875,working
L26_N11322,26,11322,contradictory_context,cc_0015,1.9609375,1.9609375,0.0,0.408203125,0.408203125,working
L26_N11322,26,11322,contradictory_context,cc_0016,1.5625,1.5546875,-0.0078125,0.6484375,0.6484375,working
