neuron_id,group,weight_norm,null_space_fraction,logit_var
L29_N7736,random,1.9674022197723389,0.2995150318871916,0.0007295788964256644
L24_N7483,random,1.787244200706482,0.28805833531988506,0.0006200214265845716
L30_N2369,random,1.424548864364624,0.4895212812529224,0.00030047015752643347
L29_N3122,random,1.936825156211853,0.2797793622622995,0.0007102671079337597
L30_N8327,random,2.0421645641326904,0.25924827845084114,0.0007805156637914479
L31_N2236,random,2.228724956512451,0.26623470920237413,0.0009587326785549521
L23_N4526,random,1.8381823301315308,0.2866676662322807,0.0006328420131467283
L29_N5568,random,1.9447219371795654,0.27008666435202694,0.0007193058263510466
L30_N4377,random,1.9813390970230103,0.2957202344857512,0.0007451288402080536
L23_N4634,random,1.8160933256149292,0.2989685906719722,0.000622460909653455
L31_N4891,random,2.0388805866241455,0.3196383227242273,0.0007575841736979783
L30_N9501,random,2.0261456966400146,0.2881144293797122,0.0007822809857316315
L31_N8022,random,1.8838168382644653,0.2883437669379946,0.0007257518591359258
L24_N7316,random,1.827528953552246,0.282431196929914,0.0006333428318612278
L30_N7935,random,2.066462516784668,0.6664288782944218,0.0006929202354513109
L26_N5446,random,1.8701215982437134,0.29805445876860054,0.0006564486538991332
L30_N12498,random,1.6782019138336182,0.6290810239707068,0.0004515819891821593
L30_N6180,random,2.0677008628845215,0.2927364576847518,0.0007975248154252768
L29_N5272,random,2.1221771240234375,0.5171844778622983,0.0007471197168342769
L24_N11427,random,1.820525050163269,0.29890926800015905,0.0006160054472275078
L24_N9368,random,1.8065649271011353,0.31912285174350435,0.0006098683807067573
L29_N3826,random,1.8962562084197998,0.2718082976165758,0.0006811917410232127
L29_N715,random,1.31869375705719,0.24549851042320636,0.00034363550366833806
L26_N12201,random,1.8375022411346436,0.3043939160417722,0.0006399823469109833
L29_N11554,random,1.9731074571609497,0.2749862626641991,0.0007338550058193505
L29_N6325,random,1.4450682401657104,0.3205311145666888,0.00040342743159271777
L31_N12982,random,1.516491174697876,0.758025980101336,0.00028498159372247756
L31_N2492,random,2.184297800064087,0.2794095174638873,0.0008922935812734067
L29_N606,random,1.9717353582382202,0.2605003350811936,0.0007478218176402152
L24_N8229,random,1.7332884073257446,0.2838838492073806,0.0005919869290664792
L30_N5439,random,2.016988515853882,0.4310284043393154,0.0007120707305148244
L23_N14322,random,1.8384003639221191,0.2840187671439024,0.0006303825648501515
L29_N1633,random,1.9614619016647339,0.2707548376587652,0.0007329715881496668
L30_N7486,random,1.5460559129714966,0.34108869919948953,0.0004585052374750376
L23_N11836,random,1.8055877685546875,0.2889943978488819,0.0006037532002665102
L24_N6717,random,1.8438700437545776,0.2888715780276672,0.0006324994610622525
L31_N2529,random,2.034672260284424,0.29739314957911633,0.000772533065173775
L23_N7692,random,1.8025107383728027,0.30662939906064174,0.0006174922455102205
L26_N5546,random,1.880378007888794,0.3383906265887079,0.0006413231021724641
L30_N11349,random,1.7475029230117798,0.3985645247026584,0.0005644304328598082
L29_N10646,random,1.9524794816970825,0.2834771746009928,0.0007397729787044227
L23_N13955,random,1.8355520963668823,0.29399251589233794,0.0006271054153330624
L26_N13964,random,1.8554679155349731,0.2959713951706085,0.0006634753081016243
L31_N14079,random,2.1954565048217773,0.2870484617629623,0.0009055374539457262
L30_N6226,random,1.9635788202285767,0.28905152613987684,0.000711859087459743
L26_N10269,random,1.8889538049697876,0.2859765426327587,0.0006748263258486986
L31_N12442,random,2.248109817504883,0.29493517302704425,0.0009457180858589709
L29_N14293,random,1.7336574792861938,0.4187197486819753,0.0005943601136095822
L30_N588,random,1.9958378076553345,0.2698225888886872,0.0007566223503090441
L30_N1121,random,2.151136875152588,0.3444505039561585,0.0008280206238850951
L24_N10340,random,1.710282325744629,0.2787340710937578,0.0005622079479508102
L31_N4708,random,2.2281010150909424,0.25628377821234477,0.0009441113215871155
L24_N12235,random,1.8209234476089478,0.30974343522589265,0.0006513911648653448
L23_N7110,random,1.8242563009262085,0.2942839008028661,0.0006354338838718832
L23_N12457,random,1.8078893423080444,0.26565208932521334,0.0006197628099471331
