cell,pair,set,direction,condition,lp_264,lp_279,lp_304,lp_358,lp_430,lp_539,lp_912,lp_7566,lp_9987,lp_10035,lp_25420
circuit,2,circuit,control_to_uncertain,patched,-4.432953834533691,-6.057953834533691,-7.807953834533691,-8.182953834533691,-5.807953834533691,-1.995453953742981,-7.370453834533691,-12.261078834533691,-9.120453834533691,-10.057953834533691,-6.370453834533691
circuit,2,circuit,uncertain_to_control,patched,-5.564173698425293,-5.876673698425293,-9.064173698425293,-8.157923698425293,-7.814173698425293,-2.189173936843872,-8.189173698425293,-14.392298698425293,-3.564173936843872,-12.720423698425293,-5.751673698425293
circuit,2,random0,control_to_uncertain,patched,-5.881636619567871,-6.694136619567871,-8.444136619567871,-5.319136619567871,-8.381636619567871,-1.256636381149292,-5.631636619567871,-13.483199119567871,-6.631636619567871,-10.741011619567871,-6.194136619567871
circuit,2,random1,control_to_uncertain,patched,-5.2802581787109375,-6.0927581787109375,-7.9052581787109375,-5.1552581787109375,-7.2177581787109375,-2.0927579402923584,-5.2177581787109375,-13.303695678710938,-8.530258178710938,-10.780258178710938,-7.8115081787109375
circuit,2,random2,control_to_uncertain,patched,-7.17903995513916,-7.80403995513916,-8.67903995513916,-7.17903995513916,-8.92903995513916,-4.86653995513916,-8.11653995513916,-14.39778995513916,-12.92903995513916,-11.99153995513916,-11.71028995513916
circuit,2,random3,control_to_uncertain,patched,-4.912811279296875,-6.537811279296875,-8.194061279296875,-6.100311279296875,-7.225311279296875,-0.725311279296875,-5.350311279296875,-13.623748779296875,-6.412811279296875,-11.631561279296875,-8.287811279296875
circuit,2,random4,control_to_uncertain,patched,-6.163082599639893,-6.788082599639893,-8.413082122802734,-6.413082599639893,-7.538082599639893,-0.5380825996398926,-7.163082599639893,-14.186519622802734,-11.256832122802734,-12.428707122802734,-8.725582122802734
circuit,2,random5,control_to_uncertain,patched,-5.024775981903076,-6.024775981903076,-8.056026458740234,-5.962275981903076,-7.087275981903076,-2.649775981903076,-6.149775981903076,-12.087276458740234,-7.899775981903076,-9.556026458740234,-7.243525981903076
circuit,2,random6,control_to_uncertain,patched,-4.46092414855957,-6.27342414855957,-8.02342414855957,-5.52342414855957,-6.08592414855957,-2.2109241485595703,-6.08592414855957,-13.83592414855957,-8.30467414855957,-11.14842414855957,-7.21092414855957
circuit,2,random7,control_to_uncertain,patched,-4.680257797241211,-5.867757797241211,-7.805257797241211,-4.742757797241211,-7.149007797241211,-2.992757797241211,-5.180257797241211,-12.563070297241211,-9.649007797241211,-9.899007797241211,-8.680257797241211
