cell,pair,set,direction,condition,lp_264,lp_279,lp_304,lp_358,lp_430,lp_539,lp_912,lp_7566,lp_9987,lp_10035,lp_25420
circuit,0,random16,control_to_uncertain,patched,-6.713709831237793,-5.276209831237793,-6.213709831237793,-3.651210069656372,-8.932459831237793,-2.026210069656372,-7.557459831237793,-13.252772331237793,-4.838709831237793,-11.651209831237793,-8.401209831237793
circuit,0,random17,control_to_uncertain,patched,-6.815701007843018,-4.971951007843018,-5.909451007843018,-5.034451007843018,-8.81570053100586,-1.846950888633728,-7.815701007843018,-12.92507553100586,-5.846951007843018,-11.31570053100586,-10.53445053100586
circuit,0,random18,control_to_uncertain,patched,-7.19283390045166,-5.44283390045166,-6.38033390045166,-3.75533390045166,-9.28658390045166,-1.5678340196609497,-7.91158390045166,-13.34127140045166,-4.69283390045166,-11.63033390045166,-8.50533390045166
circuit,0,random19,control_to_uncertain,patched,-6.831366539001465,-6.206366539001465,-6.393866539001465,-4.018866539001465,-8.675116539001465,-1.3938666582107544,-7.800116539001465,-14.096991539001465,-4.581366539001465,-12.815741539001465,-8.737616539001465
circuit,0,random20,control_to_uncertain,patched,-7.011988639831543,-5.824488639831543,-6.511988639831543,-4.449488639831543,-9.074488639831543,-1.0119884014129639,-7.261988639831543,-14.355738639831543,-3.136988401412964,-12.558863639831543,-7.324488639831543
circuit,0,random21,control_to_uncertain,patched,-7.202919006347656,-6.765419006347656,-6.765419006347656,-4.015419006347656,-9.046669006347656,-1.3904187679290771,-9.015419006347656,-14.335731506347656,-2.952918767929077,-13.296669006347656,-5.015419006347656
circuit,0,random22,control_to_uncertain,patched,-7.047483444213867,-4.984983444213867,-5.984983444213867,-5.672483444213867,-8.453733444213867,-3.672483205795288,-8.109983444213867,-11.813108444213867,-8.547483444213867,-10.563108444213867,-12.617795944213867
circuit,0,random23,control_to_uncertain,patched,-6.759220123291016,-5.696720123291016,-6.759220123291016,-4.384220123291016,-9.009220123291016,-1.6967198848724365,-7.696720123291016,-12.868595123291016,-4.571720123291016,-11.415470123291016,-8.540470123291016
circuit,0,random24,control_to_uncertain,patched,-4.955496788024902,-8.330496788024902,-8.080496788024902,-4.517996788024902,-9.205496788024902,-1.0179970264434814,-9.580496788024902,-15.299246788024902,-2.8304970264434814,-14.174246788024902,-5.705496788024902
circuit,0,random25,control_to_uncertain,patched,-7.29156494140625,-5.13531494140625,-6.44781494140625,-4.07281494140625,-8.63531494140625,-1.6353148221969604,-8.04156494140625,-13.18218994140625,-2.88531494140625,-11.74468994140625,-7.01031494140625
circuit,0,random26,control_to_uncertain,patched,-7.344094753265381,-6.844094753265381,-7.031594753265381,-2.906594753265381,-9.125345230102539,-1.0940948724746704,-8.406595230102539,-14.148782730102539,-4.031594753265381,-13.890970230102539,-7.094094753265381
circuit,0,random27,control_to_uncertain,patched,-5.245960235595703,-8.683460235595703,-8.433460235595703,-4.245960235595703,-9.027210235595703,-1.0584603548049927,-9.745960235595703,-13.370960235595703,-2.683460235595703,-13.308460235595703,-4.058460235595703
circuit,0,random28,control_to_uncertain,patched,-7.157466411590576,-4.782466411590576,-5.657466411590576,-4.469966411590576,-8.938716888427734,-1.2199664115905762,-7.532466411590576,-13.157466888427734,-4.782466411590576,-11.313716888427734,-9.094966888427734
circuit,0,random29,control_to_uncertain,patched,-6.742150783538818,-4.929650783538818,-6.242150783538818,-4.304650783538818,-8.960901260375977,-1.6796507835388184,-8.148401260375977,-13.367151260375977,-4.679650783538818,-11.539026260375977,-9.085901260375977
circuit,1,baseline,,baseline_u,-6.929624557495117,-6.242124557495117,-9.023374557495117,-4.054624557495117,-8.554624557495117,-0.4921247661113739,-8.585874557495117,-12.976499557495117,-3.5546247959136963,-12.054624557495117,-4.242124557495117
circuit,1,baseline,,baseline_c,-8.520339965820312,-9.270339965820312,-11.645339965820312,-11.395339965820312,-11.520339965820312,-6.7078399658203125,-10.895339965820312,-15.957839965820312,-10.770339965820312,-12.801589965820312,-12.832839965820312
circuit,1,circuit,control_to_uncertain,patched,-6.371867656707764,-5.246867656707764,-7.746867656707764,-5.934367656707764,-6.434367656707764,-3.4968676567077637,-8.778118133544922,-11.340618133544922,-8.778118133544922,-10.403118133544922,-10.184368133544922
circuit,1,circuit,uncertain_to_control,patched,-7.424437046051025,-8.549436569213867,-9.705686569213867,-6.049437046051025,-9.611936569213867,-0.48693692684173584,-8.674436569213867,-16.602170944213867,-4.549437046051025,-13.986936569213867,-5.736937046051025
