neuron_id,layer,neuron,score_last,score_all,abs_all
L19_N4395,19,4395,-0.0026407111436128616,-0.028877845034003258,0.028877845034003258
L18_N11325,18,11325,-0.0074392082169651985,0.028837019577622414,0.028837019577622414
L18_N2813,18,2813,0.0017825420945882797,-0.028778161853551865,0.028778161853551865
L20_N1404,20,1404,0.00444078678265214,0.028630297631025314,0.028630297631025314
L16_N10251,16,10251,-0.003941028378903866,-0.028568798676133156,0.028568798676133156
L22_N5315,22,5315,-0.0031566615216434,-0.028548557311296463,0.028548557311296463
L15_N4373,15,4373,0.0013967757113277912,0.028504211455583572,0.028504211455583572
L17_N4697,17,4697,-0.008812140673398972,-0.028500806540250778,0.028500806540250778
L17_N9787,17,9787,0.015397066250443459,0.02848803624510765,0.02848803624510765
L17_N12575,17,12575,-0.0046703508123755455,-0.028425414115190506,0.028425414115190506
L12_N8893,12,8893,-0.0009119739988818765,0.028391551226377487,0.028391551226377487
L19_N8064,19,8064,0.0018273815512657166,0.028363358229398727,0.028363358229398727
L19_N14096,19,14096,-0.0011751316487789154,0.02828538790345192,0.02828538790345192
L14_N9261,14,9261,-0.005666919518262148,-0.028067339211702347,0.028067339211702347
L15_N14187,15,14187,-0.004054967314004898,0.027853483334183693,0.027853483334183693
L16_N5775,16,5775,0.00018126048962585628,-0.027821019291877747,0.027821019291877747
L15_N3181,15,3181,-0.024800535291433334,-0.02780640684068203,0.02780640684068203
L12_N28,12,28,0.00177590805105865,0.02766888216137886,0.02766888216137886
L15_N4816,15,4816,0.018714452162384987,0.027634968981146812,0.027634968981146812
L15_N486,15,486,-0.026958683505654335,-0.027564872056245804,0.027564872056245804
L17_N1219,17,1219,0.008174394257366657,0.027383681386709213,0.027383681386709213
L13_N6012,13,6012,0.0025738258846104145,0.027185913175344467,0.027185913175344467
L13_N9733,13,9733,-0.0011105509474873543,-0.027169829234480858,0.027169829234480858
L13_N10692,13,10692,-0.001659370376728475,-0.02709501050412655,0.02709501050412655
L16_N7051,16,7051,-0.00116816780064255,-0.027087021619081497,0.027087021619081497
L20_N6776,20,6776,0.03176300972700119,0.02700142189860344,0.02700142189860344
L16_N1566,16,1566,-0.0033553126268088818,-0.026925280690193176,0.026925280690193176
L14_N3152,14,3152,-0.009290757589042187,-0.02689969539642334,0.02689969539642334
L14_N1849,14,1849,0.0026095944922417402,-0.026893150061368942,0.026893150061368942
L15_N4888,15,4888,0.026867235079407692,0.0268743634223938,0.0268743634223938
L17_N9629,17,9629,0.00041172251803800464,0.026853779330849648,0.026853779330849648
L15_N1030,15,1030,-0.0010928378906100988,-0.026712482795119286,0.026712482795119286
L19_N2606,19,2606,-0.00559633132070303,-0.026643862947821617,0.026643862947821617
L17_N8305,17,8305,-0.011117649264633656,-0.026529530063271523,0.026529530063271523
L26_N13359,26,13359,0.026292884722352028,0.026488546282052994,0.026488546282052994
L14_N3478,14,3478,-0.0007291575311683118,-0.026470277458429337,0.026470277458429337
L15_N6379,15,6379,0.0014178131241351366,0.026443209499120712,0.026443209499120712
L16_N4969,16,4969,0.0123167484998703,0.026394154876470566,0.026394154876470566
L18_N8214,18,8214,0.0070677995681762695,0.026351049542427063,0.026351049542427063
L19_N1723,19,1723,0.02738477848470211,0.02625928819179535,0.02625928819179535
L15_N14169,15,14169,0.015096276998519897,0.026105795055627823,0.026105795055627823
L20_N1385,20,1385,-0.0010680850828066468,0.026097238063812256,0.026097238063812256
L19_N4142,19,4142,0.00013441666669677943,0.025992020964622498,0.025992020964622498
