pair,uncertain_id,split,layer,group,n_pos,direction,logodds_rec,entropy_rec
0,fam_0000_u,working,23,suffix-2,1,uncertain_to_control,-1.0,-0.005586519243642026
0,fam_0000_u,working,24,suffix-2,1,control_to_uncertain,-0.46749667029713404,-0.02837173199899355
0,fam_0000_u,working,24,suffix-2,1,uncertain_to_control,-1.0,-0.005540083601957834
0,fam_0000_u,working,25,suffix-2,1,control_to_uncertain,0.7473993184090248,0.017219166733921695
0,fam_0000_u,working,25,suffix-2,1,uncertain_to_control,-1.0,0.009360861608138966
0,fam_0000_u,working,26,suffix-2,1,control_to_uncertain,0.6040160847804632,0.03985335238628757
0,fam_0000_u,working,26,suffix-2,1,uncertain_to_control,-1.0,0.014772023252833019
0,fam_0000_u,working,27,suffix-2,1,control_to_uncertain,0.7072911709375229,0.04248149102026671
0,fam_0000_u,working,27,suffix-2,1,uncertain_to_control,-0.7658428380247276,0.018080822347026456
0,fam_0000_u,working,28,suffix-2,1,control_to_uncertain,1.2738277369838162,0.04495444856414468
0,fam_0000_u,working,28,suffix-2,1,uncertain_to_control,-0.42297606766083984,0.08010578424903034
0,fam_0000_u,working,29,suffix-2,1,control_to_uncertain,1.5429411896221865,0.08324708864845876
0,fam_0000_u,working,29,suffix-2,1,uncertain_to_control,0.4841244238895401,0.06856645311216715
0,fam_0000_u,working,30,suffix-2,1,control_to_uncertain,0.47268845160033346,0.00993069962637853
0,fam_0000_u,working,30,suffix-2,1,uncertain_to_control,0.20937522956584506,0.014331700618588024
0,fam_0000_u,working,31,suffix-2,1,control_to_uncertain,0.0,-0.0
0,fam_0000_u,working,31,suffix-2,1,uncertain_to_control,-0.0,0.0
0,fam_0000_u,working,0,suffix-3,1,control_to_uncertain,-0.10176114931441657,0.024275158919678505
0,fam_0000_u,working,0,suffix-3,1,uncertain_to_control,0.6130997058363223,0.018342301000280097
0,fam_0000_u,working,1,suffix-3,1,control_to_uncertain,0.6765892344398274,0.032952096220583836
0,fam_0000_u,working,1,suffix-3,1,uncertain_to_control,0.040516974298207234,0.007105320782753595
0,fam_0000_u,working,2,suffix-3,1,control_to_uncertain,0.2601703658041911,0.023561266562540057
0,fam_0000_u,working,2,suffix-3,1,uncertain_to_control,0.6180295824536637,-0.0921794961569685
0,fam_0000_u,working,3,suffix-3,1,control_to_uncertain,0.6825986693964374,0.049026542790814705
0,fam_0000_u,working,3,suffix-3,1,uncertain_to_control,0.2783647565723703,-0.04521051219847988
0,fam_0000_u,working,4,suffix-3,1,control_to_uncertain,0.6185070794114171,-0.006238101794047692
0,fam_0000_u,working,4,suffix-3,1,uncertain_to_control,0.2251438080302532,0.012656011887524271
0,fam_0000_u,working,5,suffix-3,1,control_to_uncertain,1.0915995668990806,0.009876104367145998
0,fam_0000_u,working,5,suffix-3,1,uncertain_to_control,0.7458742027078389,0.021386209237517863
0,fam_0000_u,working,6,suffix-3,1,control_to_uncertain,0.7325474063451201,0.04434025189777868
0,fam_0000_u,working,6,suffix-3,1,uncertain_to_control,1.1772280263565544,-0.09421027660806776
0,fam_0000_u,working,7,suffix-3,1,control_to_uncertain,0.5332539102050202,0.04673888274362541
0,fam_0000_u,working,7,suffix-3,1,uncertain_to_control,0.1923737827021537,0.004646234588707801
0,fam_0000_u,working,8,suffix-3,1,control_to_uncertain,0.5809109811524445,0.033382478957088124
0,fam_0000_u,working,8,suffix-3,1,uncertain_to_control,1.3512541082305145,-0.06642766899606439
0,fam_0000_u,working,9,suffix-3,1,control_to_uncertain,0.3634214972643736,0.005446915605224054
0,fam_0000_u,working,9,suffix-3,1,uncertain_to_control,1.0228783324975805,-0.06793311843373323
0,fam_0000_u,working,10,suffix-3,1,control_to_uncertain,1.7524345956926262,-0.05695858118789789
0,fam_0000_u,working,10,suffix-3,1,uncertain_to_control,0.6891846140578937,-0.019536794831015804
0,fam_0000_u,working,11,suffix-3,1,control_to_uncertain,2.0,-0.0694953143025337
0,fam_0000_u,working,11,suffix-3,1,uncertain_to_control,0.06550970804015446,-0.008473095218879515
0,fam_0000_u,working,12,suffix-3,1,control_to_uncertain,2.0,0.034987698263870756
0,fam_0000_u,working,12,suffix-3,1,uncertain_to_control,-1.0,0.05263739609097944
0,fam_0000_u,working,13,suffix-3,1,control_to_uncertain,1.9473539641829372,0.0763725366856405
0,fam_0000_u,working,13,suffix-3,1,uncertain_to_control,-1.0,0.05776311947816427
0,fam_0000_u,working,14,suffix-3,1,control_to_uncertain,2.0,0.06673365465412716
0,fam_0000_u,working,14,suffix-3,1,uncertain_to_control,-1.0,0.04719315090604393
0,fam_0000_u,working,15,suffix-3,1,control_to_uncertain,2.0,0.015665278839352263
0,fam_0000_u,working,15,suffix-3,1,uncertain_to_control,-1.0,0.04237556434882098
0,fam_0000_u,working,16,suffix-3,1,control_to_uncertain,2.0,0.15538789931684716
0,fam_0000_u,working,16,suffix-3,1,uncertain_to_control,-0.6045766246873912,0.01242635574270916
0,fam_0000_u,working,17,suffix-3,1,control_to_uncertain,1.9896643467873558,0.07918419253611596
0,fam_0000_u,working,17,suffix-3,1,uncertain_to_control,0.5751826146391944,-0.049493272914579785
0,fam_0000_u,working,18,suffix-3,1,control_to_uncertain,0.895027324324238,0.02824459032192213
0,fam_0000_u,working,18,suffix-3,1,uncertain_to_control,-1.0,0.01856127546394102
0,fam_0000_u,working,19,suffix-3,1,control_to_uncertain,0.7031150687819196,0.0369962993909068
0,fam_0000_u,working,19,suffix-3,1,uncertain_to_control,-1.0,0.018207889845756525
0,fam_0000_u,working,20,suffix-3,1,control_to_uncertain,0.4274444171183458,0.005758316282205269
0,fam_0000_u,working,20,suffix-3,1,uncertain_to_control,-1.0,0.027717033958251244
0,fam_0000_u,working,21,suffix-3,1,control_to_uncertain,0.48313908735798855,0.017061018510166587
0,fam_0000_u,working,21,suffix-3,1,uncertain_to_control,-0.45252179078925936,0.019576480243637277
0,fam_0000_u,working,22,suffix-3,1,control_to_uncertain,0.4888450961541533,0.02773869403392502
