pair,layer,positions,rec
8,23,last,0.0372213226390215
8,23,all,0.08512705847249875
8,24,last,-0.030060268847314907
8,24,all,0.05304389627564054
8,25,last,0.06210463932270618
8,25,all,0.04355210891377938
8,26,last,-0.030126659645997915
8,26,all,-0.07043536694234102
8,27,last,0.024534672899222138
8,27,all,0.014560185044162066
8,28,last,0.011177371250233948
8,28,all,0.08028441217436666
8,29,last,0.08274092839725443
8,29,all,0.07818764737276762
8,30,last,0.12868446618241716
8,30,all,0.2088053807432964
8,31,last,0.41085091440361554
8,31,all,0.41085091440361554
9,0,last,0.00019250806474590951
9,0,all,-0.05429018303405006
9,1,last,0.006082844973030691
9,1,all,-0.08599920973852816
9,2,last,0.006621827889196007
9,2,all,-0.005667947784038477
9,3,last,8.442060394248848e-05
9,3,all,0.2512874472643923
9,4,last,0.00907957808737288
9,4,all,0.010265532217698856
9,5,last,-0.00038151237693978155
9,5,all,0.13250610396665116
9,6,last,0.014875346731022006
9,6,all,0.014032462862371475
9,7,last,0.0010654052099742712
9,7,all,0.05320352392887805
9,8,last,-0.0033264494511966603
9,8,all,-0.019379387582396858
9,9,last,0.01246291393613611
9,9,all,0.10382669937452728
9,10,last,-0.00683284634478287
9,10,all,-0.010279613336445724
9,11,last,0.019010865533315102
9,11,all,0.1031078681787805
9,12,last,-0.002800886568391035
9,12,all,0.037266870717282276
9,13,last,0.06958776500186195
9,13,all,-0.01495223096155068
9,14,last,0.02524929695221787
9,14,all,-0.0654892339269814
9,15,last,-0.027928808243523232
9,15,all,0.02684307465789327
9,16,last,-0.05776616999982614
9,16,all,-0.27098359391005494
9,17,last,-0.04384344731172602
9,17,all,-0.040392251047969084
9,18,last,0.04584329671647482
9,18,all,0.07655867902975672
9,19,last,0.0961831640194494
9,19,all,0.16355576410595904
9,20,last,-0.13278528032565595
9,20,all,-0.23309441046355373
9,21,last,-0.02478739659219738
9,21,all,0.020708565861854704
9,22,last,0.09881342444941008
9,22,all,0.010625261831131159
9,23,last,-0.00961099157585502
9,23,all,-0.046014319506137484
9,24,last,-0.028453313389709373
9,24,all,0.04228001342532204
9,25,last,-0.018593290948504818
9,25,all,0.008242214281705275
9,26,last,-0.049210535136060295
9,26,all,-0.1249340980504658
9,27,last,0.12663612848829142
9,27,all,0.048062163709995324
9,28,last,-0.040381673681774255
9,28,all,-0.06678430020046092
9,29,last,0.19313282349106103
9,29,all,0.1987878470557802
9,30,last,-0.01621840780361057
9,30,all,0.023659518813134894
9,31,last,0.024386249979258447
9,31,all,0.024386249979258447
10,0,last,-5.116687890105438e-05
10,0,all,0.498798987438751
10,1,last,0.003007469692091736
10,1,all,0.24549072165310956
10,2,last,-0.0004978622638295619
10,2,all,0.36835798840893086
10,3,last,-0.0110549415932275
10,3,all,0.05354157537726718
10,4,last,-0.0017370108262807155
10,4,all,0.1710513674096301
10,5,last,-0.000758195413730884
10,5,all,0.35402309216315775
10,6,last,-0.0063734436503997535
10,6,all,0.1843097942248598
10,7,last,-0.0023768682891626225
10,7,all,0.042474481973487126
