pair,arm,layer,group,pos,rank_unknown
2,uncertain,14,entity,35,4650
2,uncertain,14,readout,45,162
2,uncertain,15,entity,35,5722
2,uncertain,15,readout,45,102
2,uncertain,16,entity,35,14699
2,uncertain,16,readout,45,517
2,uncertain,17,entity,35,10348
2,uncertain,17,readout,45,13
2,uncertain,18,entity,35,12163
2,uncertain,18,readout,45,104
2,uncertain,19,entity,35,15380
2,uncertain,19,readout,45,8
2,uncertain,20,entity,35,21443
2,uncertain,20,readout,45,18
2,uncertain,21,entity,35,20813
2,uncertain,21,readout,45,3
2,uncertain,22,entity,35,20507
2,uncertain,22,readout,45,4
2,uncertain,23,entity,35,13600
2,uncertain,23,readout,45,4
2,uncertain,24,entity,35,20386
2,uncertain,24,readout,45,4
2,uncertain,25,entity,35,13402
2,uncertain,25,readout,45,3
2,uncertain,26,entity,35,13634
2,uncertain,26,readout,45,4
2,uncertain,27,entity,35,6263
2,uncertain,27,readout,45,4
2,uncertain,28,entity,35,6135
2,uncertain,28,readout,45,4
2,uncertain,29,entity,35,7650
2,uncertain,29,readout,45,4
2,uncertain,30,entity,35,5627
2,uncertain,30,readout,45,5
2,control,0,entity,35,57701
2,control,0,entity,36,12177
2,control,0,readout,46,16196
2,control,1,entity,35,58508
2,control,1,entity,36,77947
2,control,1,readout,46,15391
2,control,2,entity,35,19367
2,control,2,entity,36,70363
2,control,2,readout,46,337
2,control,3,entity,35,42882
2,control,3,entity,36,109407
2,control,3,readout,46,1117
2,control,4,entity,35,16305
2,control,4,entity,36,63740
2,control,4,readout,46,575
2,control,5,entity,35,13383
2,control,5,entity,36,70623
2,control,5,readout,46,501
2,control,6,entity,35,38833
2,control,6,entity,36,77972
2,control,6,readout,46,376
2,control,7,entity,35,6489
2,control,7,entity,36,108208
2,control,7,readout,46,808
2,control,8,entity,35,519
2,control,8,entity,36,97337
2,control,8,readout,46,797
2,control,9,entity,35,468
2,control,9,entity,36,48478
2,control,9,readout,46,242
2,control,10,entity,35,305
2,control,10,entity,36,19444
2,control,10,readout,46,283
2,control,11,entity,35,635
2,control,11,entity,36,7457
2,control,11,readout,46,497
2,control,12,entity,35,450
2,control,12,entity,36,41169
2,control,12,readout,46,708
2,control,13,entity,35,2549
2,control,13,entity,36,98707
2,control,13,readout,46,3378
2,control,14,entity,35,4650
2,control,14,entity,36,94539
2,control,14,readout,46,581
2,control,15,entity,35,5722
2,control,15,entity,36,122054
2,control,15,readout,46,1131
2,control,16,entity,35,14699
2,control,16,entity,36,105848
2,control,16,readout,46,4707
2,control,17,entity,35,10348
2,control,17,entity,36,111893
2,control,17,readout,46,1742
2,control,18,entity,35,12163
2,control,18,entity,36,113152
2,control,18,readout,46,1803
2,control,19,entity,35,15380
2,control,19,entity,36,106281
2,control,19,readout,46,2392
2,control,20,entity,35,21443
2,control,20,entity,36,94016
2,control,20,readout,46,1606
2,control,21,entity,35,20813
2,control,21,entity,36,51890
2,control,21,readout,46,682
2,control,22,entity,35,20507
2,control,22,entity,36,43696
2,control,22,readout,46,1167
2,control,23,entity,35,13600
2,control,23,entity,36,28056
2,control,23,readout,46,1263
2,control,24,entity,35,20386
2,control,24,entity,36,34833
2,control,24,readout,46,1009
2,control,25,entity,35,13402
2,control,25,entity,36,63301
2,control,25,readout,46,543
2,control,26,entity,35,13634
2,control,26,entity,36,94765
2,control,26,readout,46,295
2,control,27,entity,35,6263
2,control,27,entity,36,76718
2,control,27,readout,46,105
2,control,28,entity,35,6135
2,control,28,entity,36,58470
2,control,28,readout,46,131
2,control,29,entity,35,7650
2,control,29,entity,36,35646
2,control,29,readout,46,139
2,control,30,entity,35,5627
2,control,30,entity,36,24813
2,control,30,readout,46,200
3,uncertain,0,entity,35,57701
3,uncertain,0,entity,36,31125
3,uncertain,0,readout,46,17286
3,uncertain,1,entity,35,58508
3,uncertain,1,entity,36,78119
3,uncertain,1,readout,46,15507
3,uncertain,2,entity,35,19367
3,uncertain,2,entity,36,59068
3,uncertain,2,readout,46,348
3,uncertain,3,entity,35,42882
3,uncertain,3,entity,36,67487
3,uncertain,3,readout,46,1172
3,uncertain,4,entity,35,16305
3,uncertain,4,entity,36,88379
3,uncertain,4,readout,46,559
3,uncertain,5,entity,35,13383
3,uncertain,5,entity,36,107635
3,uncertain,5,readout,46,500
3,uncertain,6,entity,35,38833
3,uncertain,6,entity,36,96736
3,uncertain,6,readout,46,357
3,uncertain,7,entity,35,6489
3,uncertain,7,entity,36,90760
3,uncertain,7,readout,46,801
3,uncertain,8,entity,35,519
3,uncertain,8,entity,36,24773
3,uncertain,8,readout,46,779
3,uncertain,9,entity,35,468
3,uncertain,9,entity,36,20698
3,uncertain,9,readout,46,191
3,uncertain,10,entity,35,305
3,uncertain,10,entity,36,25621
3,uncertain,10,readout,46,242
3,uncertain,11,entity,35,635
3,uncertain,11,entity,36,18447
3,uncertain,11,readout,46,367
3,uncertain,12,entity,35,450
3,uncertain,12,entity,36,33637
3,uncertain,12,readout,46,407
3,uncertain,13,entity,35,2549
3,uncertain,13,entity,36,72396
3,uncertain,13,readout,46,1110
3,uncertain,14,entity,35,4650
3,uncertain,14,entity,36,53242
3,uncertain,14,readout,46,177
3,uncertain,15,entity,35,5722
3,uncertain,15,entity,36,71851
3,uncertain,15,readout,46,244
3,uncertain,16,entity,35,14699
3,uncertain,16,entity,36,63384
3,uncertain,16,readout,46,967
3,uncertain,17,entity,35,10348
3,uncertain,17,entity,36,55620
3,uncertain,17,readout,46,2
3,uncertain,18,entity,35,12163
3,uncertain,18,entity,36,78170
3,uncertain,18,readout,46,21
3,uncertain,19,entity,35,15380
3,uncertain,19,entity,36,55207
3,uncertain,19,readout,46,5
3,uncertain,20,entity,35,21443
3,uncertain,20,entity,36,57716
3,uncertain,20,readout,46,26
3,uncertain,21,entity,35,20813
3,uncertain,21,entity,36,41108
3,uncertain,21,readout,46,2
3,uncertain,22,entity,35,20507
3,uncertain,22,entity,36,44725
3,uncertain,22,readout,46,2
3,uncertain,23,entity,35,13600
3,uncertain,23,entity,36,38696
3,uncertain,23,readout,46,2
3,uncertain,24,entity,35,20386
3,uncertain,24,entity,36,48342
3,uncertain,24,readout,46,1
3,uncertain,25,entity,35,13402
3,uncertain,25,entity,36,25431
3,uncertain,25,readout,46,1
3,uncertain,26,entity,35,13634
3,uncertain,26,entity,36,50491
3,uncertain,26,readout,46,2
3,uncertain,27,entity,35,6263
3,uncertain,27,entity,36,20833
3,uncertain,27,readout,46,1
3,uncertain,28,entity,35,6135
3,uncertain,28,entity,36,12536
3,uncertain,28,readout,46,3
3,uncertain,29,entity,35,7650
3,uncertain,29,entity,36,16020
3,uncertain,29,readout,46,3
3,uncertain,30,entity,35,5627
3,uncertain,30,entity,36,30648
3,uncertain,30,readout,46,3
3,control,0,entity,35,57701
3,control,0,entity,36,10463
3,control,0,entity,37,7510
3,control,0,readout,47,16542
3,control,1,entity,35,58508
3,control,1,entity,36,58336
3,control,1,entity,37,18217
3,control,1,readout,47,14538
3,control,2,entity,35,19367
3,control,2,entity,36,4064
3,control,2,entity,37,6306
3,control,2,readout,47,356
3,control,3,entity,35,42882
3,control,3,entity,36,34432
3,control,3,entity,37,29141
3,control,3,readout,47,1180
3,control,4,entity,35,16305
3,control,4,entity,36,11831
3,control,4,entity,37,21390
3,control,4,readout,47,575
3,control,5,entity,35,13383
3,control,5,entity,36,16826
3,control,5,entity,37,64961
3,control,5,readout,47,491
3,control,6,entity,35,38833
3,control,6,entity,36,36819
3,control,6,entity,37,108171
3,control,6,readout,47,385
3,control,7,entity,35,6489
3,control,7,entity,36,29144
3,control,7,entity,37,45728
3,control,7,readout,47,774
3,control,8,entity,35,519
3,control,8,entity,36,19220
3,control,8,entity,37,18160
3,control,8,readout,47,738
3,control,9,entity,35,468
3,control,9,entity,36,18849
3,control,9,entity,37,11893
3,control,9,readout,47,230
3,control,10,entity,35,305
3,control,10,entity,36,11455
3,control,10,entity,37,12769
3,control,10,readout,47,270
3,control,11,entity,35,635
3,control,11,entity,36,8820
3,control,11,entity,37,5666
3,control,11,readout,47,536
3,control,12,entity,35,450
3,control,12,entity,36,27866
3,control,12,entity,37,7054
3,control,12,readout,47,610
3,control,13,entity,35,2549
3,control,13,entity,36,64150
3,control,13,entity,37,43175
3,control,13,readout,47,2594
3,control,14,entity,35,4650
3,control,14,entity,36,40951
3,control,14,entity,37,24103
3,control,14,readout,47,251
3,control,15,entity,35,5722
3,control,15,entity,36,74233
3,control,15,entity,37,5925
3,control,15,readout,47,851
3,control,16,entity,35,14699
3,control,16,entity,36,92593
3,control,16,entity,37,6528
3,control,16,readout,47,7996
3,control,17,entity,35,10348
3,control,17,entity,36,98422
3,control,17,entity,37,1223
3,control,17,readout,47,3866
3,control,18,entity,35,12163
3,control,18,entity,36,61883
3,control,18,entity,37,1013
3,control,18,readout,47,3327
3,control,19,entity,35,15380
3,control,19,entity,36,26567
3,control,19,entity,37,930
3,control,19,readout,47,1937
3,control,20,entity,35,21443
3,control,20,entity,36,18648
3,control,20,entity,37,1535
3,control,20,readout,47,1874
3,control,21,entity,35,20813
3,control,21,entity,36,13577
3,control,21,entity,37,538
3,control,21,readout,47,879
3,control,22,entity,35,20507
3,control,22,entity,36,25635
3,control,22,entity,37,867
3,control,22,readout,47,2136
3,control,23,entity,35,13600
3,control,23,entity,36,15421
3,control,23,entity,37,1379
3,control,23,readout,47,965
3,control,24,entity,35,20386
3,control,24,entity,36,34084
3,control,24,entity,37,1459
3,control,24,readout,47,872
3,control,25,entity,35,13402
3,control,25,entity,36,15454
3,control,25,entity,37,1586
3,control,25,readout,47,550
3,control,26,entity,35,13634
3,control,26,entity,36,31819
3,control,26,entity,37,2990
3,control,26,readout,47,602
3,control,27,entity,35,6263
3,control,27,entity,36,37679
3,control,27,entity,37,1279
3,control,27,readout,47,159
3,control,28,entity,35,6135
3,control,28,entity,36,9220
3,control,28,entity,37,931
3,control,28,readout,47,109
3,control,29,entity,35,7650
3,control,29,entity,36,12403
3,control,29,entity,37,3169
3,control,29,readout,47,127
3,control,30,entity,35,5627
3,control,30,entity,36,13330
3,control,30,entity,37,1244
3,control,30,readout,47,78
4,uncertain,0,entity,36,75094
4,uncertain,0,entity,37,64490
4,uncertain,0,readout,47,16016
4,uncertain,1,entity,36,119867
4,uncertain,1,entity,37,68088
4,uncertain,1,readout,47,15556
4,uncertain,2,entity,36,99837
4,uncertain,2,entity,37,19756
4,uncertain,2,readout,47,338
4,uncertain,3,entity,36,104112
4,uncertain,3,entity,37,38212
4,uncertain,3,readout,47,1142
4,uncertain,4,entity,36,108466
4,uncertain,4,entity,37,19026
4,uncertain,4,readout,47,548
4,uncertain,5,entity,36,99724
4,uncertain,5,entity,37,8948
4,uncertain,5,readout,47,460
4,uncertain,6,entity,36,119063
4,uncertain,6,entity,37,9069
4,uncertain,6,readout,47,355
4,uncertain,7,entity,36,53103
4,uncertain,7,entity,37,38039
4,uncertain,7,readout,47,796
4,uncertain,8,entity,36,92668
4,uncertain,8,entity,37,9435
4,uncertain,8,readout,47,714
4,uncertain,9,entity,36,44130
4,uncertain,9,entity,37,5704
4,uncertain,9,readout,47,195
4,uncertain,10,entity,36,23832
4,uncertain,10,entity,37,4791
4,uncertain,10,readout,47,222
4,uncertain,11,entity,36,16326
4,uncertain,11,entity,37,5253
4,uncertain,11,readout,47,343
4,uncertain,12,entity,36,21923
4,uncertain,12,entity,37,11562
4,uncertain,12,readout,47,462
4,uncertain,13,entity,36,31762
4,uncertain,13,entity,37,42446
4,uncertain,13,readout,47,1188
4,uncertain,14,entity,36,25545
4,uncertain,14,entity,37,46325
4,uncertain,14,readout,47,114
4,uncertain,15,entity,36,35505
4,uncertain,15,entity,37,69905
4,uncertain,15,readout,47,162
4,uncertain,16,entity,36,39363
4,uncertain,16,entity,37,36119
4,uncertain,16,readout,47,957
4,uncertain,17,entity,36,39300
4,uncertain,17,entity,37,17050
4,uncertain,17,readout,47,10
4,uncertain,18,entity,36,42593
4,uncertain,18,entity,37,18245
4,uncertain,18,readout,47,208
4,uncertain,19,entity,36,16040
4,uncertain,19,entity,37,8201
4,uncertain,19,readout,47,2
4,uncertain,20,entity,36,24637
4,uncertain,20,entity,37,16796
4,uncertain,20,readout,47,4
4,uncertain,21,entity,36,12735
4,uncertain,21,entity,37,4642
