pair,alpha,layer,rankunknown,rankI,ranknot
8,3.0,22,19,18323,8692
8,3.0,23,91,25295,8457
8,3.0,24,199,34741,7209
8,3.0,25,268,27233,9732
8,3.0,26,211,30500,11521
8,3.0,27,98,8009,8320
8,3.0,28,168,2675,5475
8,3.0,29,201,706,1376
8,3.0,30,127,245,186
9,-3.0,16,115014,96916,15525
9,-3.0,17,100482,107497,8097
9,-3.0,18,74583,112704,6588
9,-3.0,19,36856,61091,2326
9,-3.0,20,28777,69095,1206
9,-3.0,21,10432,59547,1726
9,-3.0,22,20613,72706,2803
9,-3.0,23,7904,71984,1859
9,-3.0,24,7322,91514,2254
9,-3.0,25,3492,101510,1327
9,-3.0,26,2441,100174,1374
9,-3.0,27,367,49872,279
9,-3.0,28,196,28289,143
9,-3.0,29,195,5704,68
9,-3.0,30,244,792,34
9,0.0,16,6155,6773,4901
9,0.0,17,2729,10399,3651
9,0.0,18,1787,15023,3546
9,0.0,19,2041,6848,4633
9,0.0,20,2712,17470,3404
9,0.0,21,1293,24020,7240
9,0.0,22,1670,36610,11285
9,0.0,23,1143,25348,6549
9,0.0,24,1837,41341,10370
9,0.0,25,1092,58248,8214
9,0.0,26,1102,55832,7865
9,0.0,27,285,18941,1695
9,0.0,28,103,20787,929
9,0.0,29,137,4120,361
9,0.0,30,142,573,86
9,3.0,16,1448,1761,4886
9,3.0,17,449,3296,5184
9,3.0,18,622,4598,5684
9,3.0,19,123,3178,5673
9,3.0,20,158,5926,4332
9,3.0,21,104,7205,6697
9,3.0,22,101,9495,8481
9,3.0,23,113,8134,5636
9,3.0,24,183,13967,8204
9,3.0,25,159,23701,8737
9,3.0,26,217,26346,12341
9,3.0,27,89,10503,4114
9,3.0,28,63,10697,2394
9,3.0,29,99,5058,986
9,3.0,30,69,599,129
10,-3.0,16,118476,118633,59937
10,-3.0,17,112958,123632,45046
10,-3.0,18,100886,125019,41148
10,-3.0,19,57322,101951,10511
10,-3.0,20,44702,105332,3781
10,-3.0,21,16097,84040,5052
10,-3.0,22,41777,90795,10692
10,-3.0,23,14076,97981,4111
10,-3.0,24,7166,99515,4022
10,-3.0,25,4898,105829,2732
10,-3.0,26,7525,107318,4387
10,-3.0,27,1410,73543,817
10,-3.0,28,1300,36444,344
10,-3.0,29,1190,11968,161
10,-3.0,30,703,978,44
10,0.0,16,7314,18344,13491
10,0.0,17,3875,48110,10521
10,0.0,18,3204,63989,12753
10,0.0,19,2601,14694,10263
10,0.0,20,3706,32662,4931
10,0.0,21,2636,28556,8272
10,0.0,22,3876,33044,14975
10,0.0,23,1871,38496,5390
10,0.0,24,5100,36990,8099
10,0.0,25,4513,47299,8830
10,0.0,26,10226,36168,12118
10,0.0,27,4548,23095,3911
10,0.0,28,4454,18672,1227
10,0.0,29,1655,4741,397
10,0.0,30,870,424,50
10,3.0,16,1197,2256,6966
10,3.0,17,403,4087,6296
10,3.0,18,787,6459,8095
10,3.0,19,199,3723,8496
10,3.0,20,396,6290,6135
10,3.0,21,238,5111,6837
10,3.0,22,332,7129,9266
10,3.0,23,326,8389,5375
10,3.0,24,940,8184,6510
10,3.0,25,933,12141,8000
10,3.0,26,1634,14723,12373
10,3.0,27,1066,8712,5434
10,3.0,28,1835,8476,1849
10,3.0,29,1062,3794,782
10,3.0,30,594,380,50
11,-3.0,16,125417,114145,78833
11,-3.0,17,119988,120943,67556
11,-3.0,18,116735,124336,69789
11,-3.0,19,96725,100478,30648
11,-3.0,20,83155,111560,15972
11,-3.0,21,56687,101902,17645
11,-3.0,22,77708,101547,21451
11,-3.0,23,53166,105464,10971
11,-3.0,24,25728,110120,8263
11,-3.0,25,10448,112476,5558
11,-3.0,26,8635,113151,9765
11,-3.0,27,1151,64239,2512
11,-3.0,28,1413,43440,1710
11,-3.0,29,2457,42015,1280
11,-3.0,30,1146,1619,210
11,0.0,16,15954,9710,18068
11,0.0,17,6290,25264,21945
11,0.0,18,7048,38610,32692
11,0.0,19,7137,12037,22177
11,0.0,20,17238,59979,47157
11,0.0,21,11867,54871,48445
11,0.0,22,12966,48594,39769
11,0.0,23,17653,51298,20919
11,0.0,24,26285,56961,27287
11,0.0,25,17047,64421,26955
11,0.0,26,20166,62127,36906
11,0.0,27,5838,21189,23391
11,0.0,28,6934,15088,19174
11,0.0,29,13867,11098,7633
11,0.0,30,2682,835,516
11,3.0,16,1932,2200,8896
11,3.0,17,578,3656,9344
11,3.0,18,823,4968,12981
11,3.0,19,159,3452,10645
11,3.0,20,558,11052,24316
11,3.0,21,266,10083,27679
11,3.0,22,489,12713,23119
11,3.0,23,864,12937,18113
11,3.0,24,1631,16527,25505
11,3.0,25,1435,20127,25907
11,3.0,26,1720,19124,33898
11,3.0,27,988,5730,25218
11,3.0,28,1122,3836,14153
11,3.0,29,2592,2433,6681
11,3.0,30,1087,504,918
12,-3.0,16,108351,96721,2160
