layer,head,group,mean_score,mean_abs,n
1,16,prefix,-3.305089664848992e-05,5.783529474712168e-05,80
1,17,prefix,-1.1363477847226023e-05,8.230260554000778e-05,80
1,18,prefix,-9.735322487358644e-06,2.9173122925385542e-05,80
1,19,prefix,-9.121886375851317e-06,1.7018104836097335e-05,80
1,20,prefix,-2.0812409559312073e-05,6.26797711333893e-05,80
1,21,prefix,-1.076008795735106e-05,3.7697390325774904e-05,80
1,22,prefix,4.04448568360749e-06,2.4017800058118155e-05,80
1,23,prefix,2.105948688040371e-05,5.978572421554418e-05,80
1,24,prefix,-6.202175913472274e-05,8.416165177891344e-05,80
1,25,prefix,-6.652229558312683e-07,4.8619489757584236e-05,80
1,26,prefix,4.448546028470446e-05,0.00010186205759055156,80
1,27,prefix,-7.959201457197197e-06,1.2163378869445296e-05,80
1,28,prefix,-4.794739595581632e-06,2.598576714945011e-05,80
1,29,prefix,-3.3940120260922413e-06,3.4639829698335235e-05,80
1,30,prefix,4.813117379853793e-06,6.079455870349193e-05,80
1,31,prefix,1.4024710452531508e-05,4.1093901171507244e-05,80
1,0,entity,-0.011482097016414627,0.09346267975051888,80
1,1,entity,0.009166141189780319,0.06355246431121486,80
1,2,entity,0.0001594541532540461,0.012283317063338472,80
1,3,entity,0.008831301007012371,0.03173422475083498,80
1,4,entity,0.020513084673439153,0.17951002701884136,80
1,5,entity,-0.013806980870867847,0.1723149687393743,80
1,6,entity,-0.0030055532327423863,0.05364893768191905,80
1,7,entity,0.015341917025853035,0.02302658168709968,80
1,8,entity,0.005090850926353596,0.012216919630736811,80
1,9,entity,-0.004485223246592796,0.011251333441759926,80
1,10,entity,0.0024564951039792505,0.03445709972947952,80
1,11,entity,-0.002333942169207148,0.04273041124542942,80
1,12,entity,-0.0054878829869267065,0.050528385250800056,80
1,13,entity,0.002153447232558392,0.26362482384720354,80
1,14,entity,-0.003721744399445015,0.016820595353419777,80
1,15,entity,0.01365790611380362,0.1293041138247645,80
1,16,entity,0.023719033395900625,0.09089894247663324,80
1,17,entity,-0.011671627170653665,0.061695297337792,80
1,18,entity,-0.005126984675007407,0.22086339492088883,80
1,19,entity,-0.0028398528860634543,0.011754873327117821,80
1,20,entity,-0.0013412781991064548,0.1120187394612003,80
1,21,entity,0.005060335652524372,0.06599090465824702,80
1,22,entity,0.0004919964751024964,0.017405086048893282,80
1,23,entity,0.006429072592436569,0.02482873982589808,80
1,24,entity,-0.06698652821942233,0.308635869261343,80
1,25,entity,-0.007741690764669329,0.1329786191810854,80
1,26,entity,0.004623556471779011,0.2847921835636953,80
1,27,entity,-0.029606838290055747,0.10777303025970468,80
1,28,entity,0.011418636589951348,0.08585778749111342,80
1,29,entity,-0.011261653636029222,0.03437913094458054,80
1,30,entity,-0.02320433479399071,0.15021282231537042,80
1,31,entity,-0.013428505649790168,0.06450987468124367,80
1,0,last,-0.0003017921472746821,0.0006592486507543072,80
1,1,last,-0.00019742346303246449,0.001137408383146976,80
1,2,last,-6.269397199503146e-05,0.001418338553776266,80
1,3,last,-0.0005729652570153121,0.006710078697506105,80
1,4,last,0.00010853045096155256,0.003193498126347549,80
1,5,last,1.203106003231369e-05,0.0002910417062594206,80
1,6,last,-1.5154823358898283e-06,0.00013457870049933264,80
1,7,last,-0.00018967637333844323,0.0009213223758706591,80
1,8,last,0.0002551704817960854,0.00345638672606583,80
1,9,last,9.422654738955316e-05,0.0006662441629487148,80
1,10,last,0.00024524421169189734,0.0034463036761735568,80
1,11,last,-4.172610897512641e-05,0.0009647168251831317,80
1,12,last,0.0006969721260247752,0.0015645950312318745,80
1,13,last,-2.942541323136538e-06,0.00034313945652684195,80
1,14,last,6.261720964175765e-05,0.00047392932492584805,80
1,15,last,-5.631101566905272e-05,0.00033429540644647204,80
1,16,last,0.0005520472506759689,0.0036146755010122433,80
1,17,last,-0.00124309665770852,0.0033254660098464227,80
1,18,last,-6.311529814411188e-05,0.0010837376497875085,80
1,19,last,0.0003824999861535616,0.0014180226251482963,80
1,20,last,-3.905273806594778e-05,0.0012889463028841418,80
1,21,last,-0.00041378641217306724,0.0010934614456346026,80
1,22,last,0.0002521442271245178,0.001486705682327738,80
1,23,last,0.0002557052388510783,0.0010779571681268862,80
1,24,last,-0.0005722443052945892,0.0018125772676285123,80
1,25,last,0.00012294031548663043,0.000604729992483044,80
1,26,last,-0.00011361167216819012,0.0009334278422102216,80
1,27,last,0.00011061262084695045,0.0011057967716624263,80
1,28,last,-0.001002688657899853,0.005074773066735361,80
1,29,last,5.581416753557278e-05,0.0019350457367181661,80
1,30,last,0.0004945849031173566,0.0018256606787872443,80
1,31,last,0.0003513630974339321,0.003087879068334587,80
1,0,suffix,-0.005168883805072255,0.011884815185567277,80
1,1,suffix,0.004068436399575148,0.007925478059587477,80
1,2,suffix,-0.0002726482135585684,0.00281981935559088,80
1,3,suffix,0.0085649826693043,0.01907441337243654,80
1,4,suffix,-0.0034699061312380764,0.008243659012794068,80
1,5,suffix,0.00021385632462624926,0.008368774167774973,80
1,6,suffix,-0.00020839436911046505,0.00586681570048313,80
1,7,suffix,0.002311040147537824,0.004218673433456388,80
1,8,suffix,0.00037826611023774606,0.005898667051042139,80
1,9,suffix,-0.0004292991651709599,0.0038363049660802063,80
