neuron_id,layer,neuron,score_last,score_all,abs_all
L18_N16630,18,16630,-0.01774018071591854,-0.031714845448732376,0.031714845448732376
L20_N8396,20,8396,-0.025543322786688805,-0.03168582543730736,0.03168582543730736
L19_N15295,19,15295,0.033428143709897995,0.031663890928030014,0.031663890928030014
L22_N17143,22,17143,0.030670976266264915,0.0316520631313324,0.0316520631313324
L14_N15053,14,15053,-0.017052844166755676,-0.031645338982343674,0.031645338982343674
L19_N478,19,478,-0.027426827698946,-0.031644657254219055,0.031644657254219055
L15_N9766,15,9766,-0.001254754257388413,-0.03164231777191162,0.03164231777191162
L12_N7607,12,7607,0.013568228110671043,0.031616292893886566,0.031616292893886566
L16_N18365,16,18365,0.00998004712164402,0.031600221991539,0.031600221991539
L18_N2229,18,2229,0.018679050728678703,0.03159424662590027,0.03159424662590027
L19_N1598,19,1598,0.005889482330530882,0.0315898135304451,0.0315898135304451
L16_N5493,16,5493,-0.0194527767598629,-0.031588975340127945,0.031588975340127945
L18_N8019,18,8019,-0.019363518804311752,-0.03157084062695503,0.03157084062695503
L19_N13851,19,13851,0.02695745788514614,0.03154987096786499,0.03154987096786499
L20_N15191,20,15191,-0.02753506973385811,-0.03154651075601578,0.03154651075601578
L19_N12611,19,12611,0.02453744038939476,0.03154538944363594,0.03154538944363594
L19_N14932,19,14932,-0.027233848348259926,-0.03154410794377327,0.03154410794377327
L22_N10715,22,10715,-0.00031322191352955997,0.03153597563505173,0.03153597563505173
L19_N16196,19,16196,0.01229628175497055,0.03153271973133087,0.03153271973133087
L17_N14425,17,14425,-0.007272869348526001,-0.031514834612607956,0.031514834612607956
L19_N14326,19,14326,-0.028031986206769943,-0.03151138499379158,0.03151138499379158
L19_N3413,19,3413,-0.02886015549302101,-0.03150852769613266,0.03150852769613266
L22_N18814,22,18814,0.031233882531523705,0.03150380030274391,0.03150380030274391
L20_N12862,20,12862,-0.02441275678575039,-0.03149061277508736,0.03149061277508736
L12_N10535,12,10535,-0.0002111639769282192,0.03148176893591881,0.03148176893591881
L20_N9549,20,9549,-0.023150503635406494,-0.03146877884864807,0.03146877884864807
L18_N16000,18,16000,0.031588442623615265,0.03146292269229889,0.03146292269229889
L15_N13609,15,13609,-0.00039269341505132616,0.031448978930711746,0.031448978930711746
L16_N268,16,268,-0.00557676563039422,-0.03144831210374832,0.03144831210374832
L18_N13497,18,13497,-0.026111746206879616,-0.03144599497318268,0.03144599497318268
L16_N9564,16,9564,-0.01325148344039917,-0.031441982835531235,0.031441982835531235
L15_N18409,15,18409,-0.001691353740170598,-0.031433310359716415,0.031433310359716415
L19_N10290,19,10290,0.02767927572131157,0.03142526373267174,0.03142526373267174
L17_N11887,17,11887,-0.003804632928222418,-0.03142132610082626,0.03142132610082626
L20_N14515,20,14515,0.014219993725419044,0.03138866275548935,0.03138866275548935
L22_N7364,22,7364,-0.029909303411841393,-0.03138250857591629,0.03138250857591629
L20_N1860,20,1860,0.035383448004722595,0.0313638411462307,0.0313638411462307
L19_N9917,19,9917,0.011250193230807781,0.031357292085886,0.031357292085886
L20_N6691,20,6691,-0.006933739874511957,-0.031344301998615265,0.031344301998615265
