neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L20_N7209,20,7209,matched,L20_N2742,1.802961826324463,0.0002016497019212693,0.0016700945561751723,0.013058505021035671,0.05923859402537346,0.3062654435634613,23.3,,90.7,,65.4,,9.1,,53.300000000000004,,66.9,
L20_N8386,20,8386,matched,L20_N2742,1.817594051361084,0.00019801329472102225,0.0019491920247673988,0.01081476453691721,0.05607602372765541,0.3006305396556854,27.3,,83.7,,59.4,,14.399999999999999,,26.700000000000003,,57.49999999999999,
L20_N8048,20,8048,matched,L20_N2742,1.7895861864089966,0.0001907253172248602,0.0016748482594266534,0.011510677635669708,0.0529635027050972,0.29429396986961365,21.0,,26.5,,46.5,,9.1,,35.199999999999996,,45.0,
L20_N3538,20,3538,matched,L20_N2742,1.8181120157241821,0.0001878568873507902,0.0017190836369991302,0.010317223146557808,0.06825492531061172,0.3195028007030487,27.800000000000004,,16.0,,76.6,,10.299999999999999,,21.2,,81.10000000000001,
L31_N9304,31,9304,matched,L31_N3330,1.5378154516220093,0.0001817464508349076,0.013767753727734089,0.05027293786406517,0.1356622874736786,0.47604724764823914,7.3999999999999995,,9.9,,93.0,,96.7,,95.6,,92.7,
L31_N3914,31,3914,matched,L31_N3330,1.3683522939682007,0.00016586737183388323,0.018932539969682693,0.14911703765392303,0.29143932461738586,0.5977481603622437,3.5000000000000004,,3.8,,97.3,,97.7,,98.5,,97.5,
L31_N8479,31,8479,matched,L31_N3330,1.3579590320587158,0.0001735682599246502,0.004891969263553619,0.013933316804468632,0.06779029220342636,0.33255335688591003,3.5000000000000004,,6.3,,82.39999999999999,,83.8,,62.8,,80.60000000000001,
L31_N8699,31,8699,matched,L31_N3330,1.4353227615356445,0.00020427860727068037,0.0020901644602417946,0.00930234044790268,0.043185342103242874,0.25815311074256897,4.9,,92.9,,3.3000000000000003,,17.5,,10.6,,7.8,
L31_N9463,31,9463,matched,L31_N3330,1.4323855638504028,0.0002152998058591038,0.0035350590478628874,0.00914247240871191,0.032791804522275925,0.22930440306663513,4.7,,97.89999999999999,,0.8999999999999999,,62.3,,9.5,,1.5,
L31_N11033,31,11033,matched,L31_N3330,1.4329737424850464,0.00011170132347615436,0.007350185886025429,0.10798420011997223,0.6702298521995544,0.8499156832695007,4.8,,0.2,,99.8,,92.5,,97.89999999999999,,99.9,
L31_N3575,31,3575,matched,L31_N3330,1.5274773836135864,0.00015224877279251814,0.0030148422811180353,0.07348307222127914,0.2980387806892395,0.6221731305122375,7.000000000000001,,1.7000000000000002,,97.39999999999999,,48.699999999999996,,96.7,,97.6,
L31_N10210,31,10210,matched,L31_N3330,1.5340067148208618,0.0001854530710261315,0.01211465336382389,0.1284949630498886,0.3752923905849457,0.6860752105712891,7.3999999999999995,,12.6,,98.7,,96.5,,98.3,,98.5,
L31_N14293,31,14293,matched,L31_N3330,1.3372594118118286,0.00021303318499121815,0.0034407505299896,0.007013463880866766,0.029804952442646027,0.2158142328262329,2.9000000000000004,,97.39999999999999,,0.6,,60.6,,1.0,,0.8999999999999999,
L31_N2874,31,2874,matched,L31_N3330,1.5280853509902954,0.00011046412691939622,0.019312120974063873,0.23491324484348297,0.6687687635421753,0.8388581871986389,7.000000000000001,,0.2,,99.8,,97.7,,99.4,,99.9,
L31_N6610,31,6610,matched,L31_N3330,1.3522425889968872,0.00017319820472039282,0.0017087034648284316,0.008683785796165466,0.04397256672382355,0.29248929023742676,3.4000000000000004,,6.0,,43.5,,10.2,,6.9,,9.3,
L31_N12950,31,12950,matched,L31_N3330,1.5137746334075928,0.00016367383068427444,0.028721626847982407,0.09382107853889465,0.3579714000225067,0.6808871030807495,6.5,,3.5000000000000004,,98.5,,98.9,,97.6,,98.4,
L31_N3382,31,3382,matched,L31_N3330,1.3673832416534424,0.0001948088756762445,0.0018747979775071144,0.011795930564403534,0.05749484524130821,0.2996215522289276,3.5000000000000004,,66.4,,57.4,,13.4,,38.5,,61.4,
L31_N7327,31,7327,matched,L31_N3330,1.4808748960494995,0.00011426376295275986,0.08428457379341125,0.26146143674850464,0.5897374749183655,0.8234460949897766,5.8999999999999995,,0.2,,99.7,,99.5,,99.5,,99.6,
L31_N12417,31,12417,matched,L31_N3330,1.405357837677002,0.0004446152306627482,0.061832502484321594,0.10868897289037704,0.2320517748594284,0.5178527235984802,4.2,,100.0,,94.69999999999999,,99.2,,98.1,,96.2,
L31_N6729,31,6729,matched,L31_N3330,1.5283747911453247,0.00016644907009322196,0.002260367153212428,0.010446195490658283,0.061919257044792175,0.3475799262523651,7.000000000000001,,4.0,,84.2,,22.400000000000002,,22.6,,73.7,
L31_N3837,31,3837,matched,L31_N3330,1.5188813209533691,0.00016047256940510124,0.0068301670253276825,0.02485370822250843,0.16193579137325287,0.535071611404419,6.6000000000000005,,2.9000000000000004,,95.8,,91.8,,90.60000000000001,,93.60000000000001,
L31_N2577,31,2577,matched,L31_N3330,1.5522342920303345,0.00019394716946408153,0.004598342813551426,0.02903083898127079,0.09282132238149643,0.3586269021034241,7.8,,58.3,,86.0,,80.9,,91.8,,88.4,
L31_N1298,31,1298,matched,L31_N3330,1.5015172958374023,0.00019781634910032153,0.004213964566588402,0.012234043329954147,0.04646635055541992,0.27142712473869324,6.3,,83.2,,8.5,,76.1,,44.1,,16.7,
L31_N7936,31,7936,matched,L31_N3330,1.5251941680908203,0.00010604817362036556,0.4319901168346405,0.5484691858291626,0.6516624093055725,0.8257155418395996,7.000000000000001,,0.1,,99.7,,100.0,,99.9,,99.9,
L31_N10588,31,10588,matched,L31_N3330,1.4073519706726074,0.00019754935055971146,0.003416323335841298,0.009799309074878693,0.04069816693663597,0.25068846344947815,4.3,,82.19999999999999,,2.3,,60.199999999999996,,16.6,,4.3,
L31_N11543,31,11543,matched,L31_N3330,1.5066120624542236,0.00017649457731749862,0.022606708109378815,0.1292676031589508,0.35437315702438354,0.6406881213188171,6.4,,7.1,,97.8,,98.2,,98.3,,98.3,
L31_N6746,31,6746,matched,L31_N3330,1.5187965631484985,0.00016046728705987334,0.031217068433761597,0.12001098692417145,0.31302914023399353,0.6270734667778015,6.6000000000000005,,2.9000000000000004,,97.6,,99.0,,98.2,,97.7,
L31_N4298,31,4298,matched,L31_N3330,1.5094388723373413,0.00017686228966340423,0.009343013167381287,0.10328307002782822,0.2922770380973816,0.5862290263175964,6.4,,7.3,,96.89999999999999,,95.1,,97.89999999999999,,97.5,
L31_N8987,31,8987,matched,L31_N3330,1.396038293838501,0.00012747170694638044,0.007023557089269161,0.04669644311070442,0.38432279229164124,0.7574580311775208,3.9,,0.4,,99.5,,92.10000000000001,,95.39999999999999,,98.7,
