neuron_id,category,n_candidate,n_control,candidate_mean_shift,control_mean_shift,diff_signed,welch_t,welch_p_two_sided,perm_p_two_sided,mean_source,significant_fdr
L30_N13647,ambiguity,120,120,0.001507411835094284,0.0019542425870895295,-0.00044683075199524543,-0.16063332120981053,0.8725295329437948,0.8741125887411259,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N13647,contradictory_context,120,120,-0.0007351222603271438,0.001407842327413767,-0.002142964587740911,-1.3087526508678546,0.1918866420479803,0.1967803219678032,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N13647,lack_of_knowledge,120,120,-0.0006463532646497123,0.00032975381861130517,-0.0009761070832610175,-0.5018020697004711,0.6163052221015819,0.6141385861413858,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N1457,ambiguity,120,120,0.003769362469514197,0.004828510122994583,-0.0010591476534803856,-0.2884942846494101,0.7732206848565479,0.777022297770223,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N1457,contradictory_context,120,120,0.002931542694568634,0.0038971063930754797,-0.0009655636985068457,-0.299113587625387,0.7651167352644924,0.7644235576442355,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N1457,lack_of_knowledge,120,120,0.0021793752908706603,0.0010465509568651462,0.0011328243340055142,0.3891528180285992,0.6975209163933431,0.7006299370062994,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N1777,ambiguity,120,120,0.0002774178360899244,-0.003960517762849727,0.004237935598939651,1.2437821925993369,0.2148280754884722,0.21577842215778423,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N1777,contradictory_context,120,120,0.0005934429975847386,-0.0008478168827423376,0.0014412598803270763,0.8363973787392369,0.4037873555330166,0.40585941405859416,uncertain_prompt_mean (assumed; schema v3 has no column),False
L30_N1777,lack_of_knowledge,120,120,0.00024240563313166242,0.0038102560987075063,-0.003567850465575844,-1.6671943251998023,0.09681568944208607,0.0964903509649035,uncertain_prompt_mean (assumed; schema v3 has no column),False
L31_N3330,ambiguity,120,120,-0.000879228860139836,0.0022416201109687517,-0.0031208489711085875,-1.687064176563614,0.09290847609573576,0.09419058094190581,uncertain_prompt_mean (assumed; schema v3 has no column),False
L31_N3330,contradictory_context,120,120,0.0003598341097434359,1.9679369385504815e-05,0.0003401547403579311,0.43494591465290344,0.6640061746913655,0.6907309269073093,uncertain_prompt_mean (assumed; schema v3 has no column),False
L31_N3330,lack_of_knowledge,120,120,0.0008919015526771471,-0.0026257503156860316,0.003517651868363179,4.382626953992273,2.005783001552928e-05,9.999000099990002e-05,uncertain_prompt_mean (assumed; schema v3 has no column),True
L31_N6772,ambiguity,120,120,-0.000760458658138904,0.004302683845162381,-0.005063142503301285,-2.2642614031379513,0.024525502996496657,0.025197480251974803,uncertain_prompt_mean (assumed; schema v3 has no column),False
L31_N6772,contradictory_context,120,120,-0.0002892996805409639,0.002521839403440624,-0.002811139083981588,-1.8799341350337513,0.06137893081284673,0.06259374062593741,uncertain_prompt_mean (assumed; schema v3 has no column),False
L31_N6772,lack_of_knowledge,120,120,-0.00012789318958918885,-0.001055140576014898,0.0009272473864257092,0.6614178366738095,0.509259838569509,0.5223477652234777,uncertain_prompt_mean (assumed; schema v3 has no column),False
