twin,layer,d_hedge_lp,d_answer_lp,d_hedge_mlogit,d_answer_mlogit,gap
ale_06_2,25,4.288570404052734,4.0711822509765625,-1.3046875,-1.587727814912796,0.21738815307617188
ale_06_2,26,6.710803985595703,5.878351211547852,1.5207031667232513,1.2689615786075592,0.8324527740478516
ale_06_2,27,11.127363204956055,9.425983428955078,0.9281253814697266,0.5989580154418945,1.7013797760009766
ale_06_3,24,1.6019258499145508,1.643284797668457,-0.5352783203125,-0.6953125,-0.04135894775390625
ale_06_3,25,6.942294120788574,4.539451599121094,-1.6351562030613422,-2.409383138641715,2.4028425216674805
ale_06_3,26,7.338549613952637,3.7473983764648438,0.5257812440395355,-0.4983724355697632,3.591151237487793
ale_06_3,27,13.655728340148926,7.380556106567383,0.7406253814697266,-0.5885419845581055,6.275172233581543
ale_06_4,24,0.10878181457519531,-0.3826026916503906,-0.656445324420929,-0.7271330952644348,0.49138450622558594
ale_06_4,25,5.2346343994140625,3.129945755004883,-0.8542968034744263,-1.2569172382354736,2.1046886444091797
ale_06_4,26,4.748692512512207,3.6993141174316406,0.41484375298023224,0.0498046875,1.0493783950805664
ale_06_4,27,8.142627716064453,7.770081520080566,0.8781251907348633,1.1959638595581055,0.3725461959838867
ale_06_5,24,1.9514427185058594,-0.6905984878540039,-1.193847632035613,-1.6529947519302368,2.6420412063598633
ale_06_5,25,7.171874046325684,2.3797683715820312,-1.8578124046325684,-2.8974609375,4.792105674743652
ale_06_5,26,7.30220890045166,1.9102096557617188,0.6308594346046448,-0.6363933086395264,5.391999244689941
ale_06_5,27,11.815760612487793,3.77133846282959,0.8156251907348633,-1.182291030883789,8.044422149658203
ale_08_0,24,1.9937305450439453,-1.6461811065673828,0.9769531488418579,-1.6035156697034836,3.639911651611328
ale_08_0,25,4.875889778137207,-0.5518875122070312,0.1953125,-2.3847657442092896,5.427777290344238
ale_08_0,26,9.816195487976074,3.159468650817871,1.9328124523162842,-0.8963216543197632,6.656726837158203
ale_08_0,27,19.07046365737915,6.527071475982666,2.83984375,-0.9765625,12.543392181396484
ale_08_1,24,-0.8399105072021484,-0.6743049621582031,0.2269531488418579,-0.3046875,-0.1656055450439453
ale_08_1,25,0.216766357421875,1.393773078918457,0.2189575433731079,-0.17415356636047363,-1.177006721496582
ale_08_1,26,7.644952774047852,7.271002769470215,0.64453125,0.4329427108168602,0.3739500045776367
ale_08_1,27,13.518688201904297,7.034475326538086,1.8812499046325684,1.3125,6.484212875366211
ale_08_2,24,2.3347225189208984,0.8319854736328125,0.44023436307907104,-1.1640625,1.502737045288086
ale_08_2,25,2.897665023803711,1.7179412841796875,-0.09980463981628418,-1.4545899629592896,1.1797237396240234
ale_08_2,26,9.183496475219727,5.010859489440918,2.6145386695861816,0.5823567509651184,4.172636985778809
ale_08_2,27,18.261527061462402,8.213178634643555,3.8234376907348633,1.033853530883789,10.048348426818848
ale_08_3,24,4.257475852966309,2.4009971618652344,0.587719738483429,-1.0451660566031933,1.8564786911010742
ale_08_3,25,3.431521415710449,-0.7777290344238281,-0.43203115463256836,-2.3320311307907104,4.209250450134277
ale_08_3,26,7.368101119995117,1.7775545120239258,1.1605468541383743,-0.9832152724266052,5.590546607971191
ale_08_3,27,17.62370491027832,6.037609100341797,2.6281251907348633,0.24739551544189453,11.586095809936523
ale_08_4,24,-1.534749984741211,-4.3106689453125,-0.28203126788139343,-1.390950482338667,2.775918960571289
ale_08_4,25,1.3868494033813477,-3.942521095275879,-0.5828125476837158,-1.8093668222427368,5.329370498657227
ale_08_4,26,8.172819137573242,2.1183223724365234,1.1615234315395355,-0.234375,6.054496765136719
ale_08_4,27,16.6828670501709,3.6548986434936523,1.6007814407348633,-0.5729160308837891,13.027968406677246
ale_08_5,24,2.1606369018554688,-0.3242835998535156,0.3046875,-1.2161458134651184,2.4849205017089844
ale_08_5,25,3.4352006912231445,-1.1512107849121094,-0.5484374761581421,-2.2275391817092896,4.586411476135254
ale_08_5,26,7.66384220123291,2.434206008911133,0.9133789166808128,-1.0733234882354736,5.229636192321777
ale_08_5,27,14.740943431854248,5.6189680099487305,2.049999713897705,-0.09114551544189453,9.121975421905518
ale_09_3,24,1.2142744064331055,2.3210325241088867,-0.7281249463558197,-1.189290463924408,-1.1067581176757812
ale_09_3,25,-0.6712760925292969,-1.9849143028259277,-2.832421898841858,-3.5950520038604736,1.3136382102966309
ale_09_3,26,-1.444849967956543,-4.552750587463379,-0.6406249850988388,-0.8424479961395264,3.107900619506836
ale_09_3,27,5.447698593139648,-0.8593786960555008,0.02421855926513672,-0.47916603088378906,6.307077289195149
ale_09_5,24,-0.7221250534057617,-2.630643844604492,-1.1844483613967896,-2.0429686307907104,1.9085187911987305
