n,cell,direction,metric,recovery,subsample_mean,subsample_lo,subsample_hi,subsample_sd,ci_width,n_total,n_draws
20,direction,control_to_uncertain,entropy_rec,0.23542303242481655,0.2769441679559573,0.12894897274740558,0.43424047024391543,0.07710324023014249,0.30529149749650986,141,2000
30,direction,control_to_uncertain,entropy_rec,0.23635528674988981,0.2772381795730959,0.16792772912680012,0.40254706148471464,0.06036507696753717,0.23461933235791452,141,2000
40,direction,control_to_uncertain,entropy_rec,0.2591419728698419,0.2766552496527546,0.18648114959682544,0.3738693006767754,0.04834324879280704,0.18738815107994994,141,2000
50,direction,control_to_uncertain,entropy_rec,0.2806791237332053,0.27470464767571057,0.1963108188088842,0.35489813401274145,0.04138547575495108,0.15858731520385724,141,2000
60,direction,control_to_uncertain,entropy_rec,0.2858378230502285,0.2748360249140349,0.20483572296785596,0.3467998324601608,0.036021435906136934,0.1419641094923048,141,2000
80,direction,control_to_uncertain,entropy_rec,0.31972717635232406,0.27588255085322433,0.22376600224410556,0.3284674114724658,0.027088372308535842,0.10470140922836021,141,2000
100,direction,control_to_uncertain,entropy_rec,0.2806812978025528,0.2770657491615959,0.2380862503316929,0.3161837460957435,0.020149078672479375,0.07809749576405062,141,2000
120,direction,control_to_uncertain,entropy_rec,0.27903233842244046,0.2764542165034222,0.24992137648998355,0.30205966332033496,0.01348438381131641,0.052138286830351405,141,2000
141,direction,control_to_uncertain,entropy_rec,0.27651248764250275,0.27651248764250275,0.27651248764250275,0.27651248764250275,0.0,0.0,141,1
10,direction,uncertain_to_control,logodds_rec,0.8116004591859924,0.887732866983493,0.6873833023515887,1.082154091305493,0.10335283229399372,0.3947707889539043,141,2000
20,direction,uncertain_to_control,logodds_rec,0.8410409583265244,0.8899533420517687,0.7554831999847841,1.0230388524638792,0.07071366463380445,0.2675556524790951,141,2000
30,direction,uncertain_to_control,logodds_rec,0.8632268695134054,0.8894296206686167,0.7869471484581159,0.9915118590739762,0.05257450806596978,0.20456471061586035,141,2000
40,direction,uncertain_to_control,logodds_rec,0.8661810776484632,0.8896978751513905,0.8037431417260682,0.9734266345398901,0.04401735672560379,0.1696834928138219,141,2000
50,direction,uncertain_to_control,logodds_rec,0.857854401248575,0.8876459612378832,0.8110425928078103,0.9660946213646703,0.03917663670717748,0.15505202855685996,141,2000
60,direction,uncertain_to_control,logodds_rec,0.8430011847572779,0.8877526435954931,0.8238660214564609,0.9505309571587075,0.03279095558122298,0.12666493570224657,141,2000
80,direction,uncertain_to_control,logodds_rec,0.8734193813477795,0.8885095076044407,0.8397806825016244,0.9395725058921369,0.025114352892487278,0.09979182339051251,141,2000
100,direction,uncertain_to_control,logodds_rec,0.8775713372921838,0.888402603846769,0.8538873548852354,0.9234045515684998,0.017965522773246943,0.06951719668326439,141,2000
120,direction,uncertain_to_control,logodds_rec,0.8857320650124498,0.888857224871328,0.8669344503414473,0.9124890879789517,0.01169830513518165,0.045554637637504336,141,2000
141,direction,uncertain_to_control,logodds_rec,0.8887389542791697,0.8887389542791697,0.8887389542791697,0.8887389542791697,0.0,0.0,141,1
10,direction,uncertain_to_control,entropy_rec,0.24030584893290624,0.6796187452026142,0.36422400828976553,1.0150470876571662,0.16765516698144442,0.6508230793674007,141,2000
20,direction,uncertain_to_control,entropy_rec,0.32059927832689517,0.6768429397248459,0.4635707431724935,0.8965161753211891,0.11127491237617707,0.4329454321486956,141,2000
30,direction,uncertain_to_control,entropy_rec,0.3053012931399404,0.680293809322493,0.506392025276938,0.8541258353559642,0.08910783930603454,0.34773381007902615,141,2000
40,direction,uncertain_to_control,entropy_rec,0.3102636300084239,0.6760249707119883,0.5378128164416688,0.8120952366773865,0.0713774547422178,0.2742824202357177,141,2000
50,direction,uncertain_to_control,entropy_rec,0.36741663158120924,0.6786273163749529,0.5561941495590974,0.7983694971863451,0.062397523863380655,0.24217534762724768,141,2000
60,direction,uncertain_to_control,entropy_rec,0.3776736794924834,0.6757628952128156,0.5720136833957846,0.784130784895493,0.053370748836691184,0.21211710149970842,141,2000
80,direction,uncertain_to_control,entropy_rec,0.45838082705354416,0.6777134943238795,0.6000569394038471,0.7553896727561257,0.03978886966218584,0.1553327333522786,141,2000
100,direction,uncertain_to_control,entropy_rec,0.6055049469527767,0.6766270942455351,0.6177673795096417,0.7332408111190807,0.029530796541495055,0.11547343160943901,141,2000
120,direction,uncertain_to_control,entropy_rec,0.655665122622118,0.6772411703859172,0.6385271980619586,0.7141131873556092,0.019205885857274962,0.07558598929365068,141,2000
